,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,6.180133333333333,3.225298743096866,0.027115746552715658,1.0,12.0,11462.237501623333,1.0001020739165154
alpha,9.535981100263678,0.4228394380999933,0.002001708273952297,8.676030570742357,9.999973966677905,45091.89864090979,0.9999731860122748
mu,6.150458021190731,0.19663237498285838,0.0009822198082210236,5.7607033166202655,6.5320819590950565,34394.19645944274,1.000040136296656
