,alpha,alpha_log__,hyper_alpha_mu,hyper_alpha_mu_interval__,hyper_alpha_sd,hyper_alpha_sd_interval__,hyper_mu_mu,hyper_mu_mu_interval__,hyper_mu_sd,hyper_mu_sd_interval__,mu,mu_log__,mu_p,mu_p_interval__,tau
872,0.919450206578568,-0.08397938911906098,9.079601303040537,-0.18460219806844416,18.875821630631965,2.8208293937974975,16.43034063989272,1.52665949073144,13.267375479952289,0.6783430094341542,2.9864987133770327,1.09410170237715,17.844264175315857,2.113550006626009,0
873,0.9527330915486274,-0.04842048638262721,14.482128174789517,0.9649231025164791,19.91205068758777,5.4223197364105085,9.493227875953163,-0.10144132421678007,12.86758516289881,0.5900615070571317,2.9981414455925504,1.0979925785516385,3.165972694429188,-1.6709419360428652,0
874,0.9108792450727742,-0.09334494256860067,16.608976529109977,1.5888115193288095,19.74739192614642,4.358937534832275,5.919591057047478,-0.8665170262434416,8.894156268157474,-0.22207697011469055,3.089640816936904,1.1280548436797129,3.6495076691282886,-1.4996657355435816,0
875,0.8970143399372934,-0.10868343049895793,8.591928983768485,-0.28349781643577093,9.838569084970917,-0.03228898803109758,8.510147626545129,-0.3002049536599139,18.863989014992246,2.809731771314913,3.0195364814811905,1.1051033366538163,15.417929310216023,1.2133800615138506,0
876,0.9120748105584477,-0.0920332631509051,9.98953108566309,-0.0020937836322984997,14.63960022700315,1.004691644445872,5.872263502745976,-0.8778998278360766,18.879589654305033,2.82438642777835,3.022390683433416,1.1060481352542084,12.01299690985363,0.408173532673496,0
877,0.9127934919180746,-0.0912456102602201,13.547313025398564,0.741691597683253,13.544236023260545,0.7409876995323788,4.961839564050083,-1.108814447774827,18.379853706089882,2.4287387074385087,3.0060698828840517,1.1006335388596427,7.5543261790013885,-0.4992526752687721,0
878,0.9299876914167137,-0.07258392795821106,6.82901131565727,-0.656836676904081,15.849900388000624,1.340030878788853,18.090960895090838,2.2488123864366525,11.103472161407899,0.22159679661619522,3.026047763326147,1.1072573995529438,17.291101893343725,1.8536500782631395,0
879,0.8952144643403005,-0.1106919644515275,7.899807003758461,-0.42638307330753183,8.351506450708536,-0.33273492672811983,18.266661990243712,2.3550286144253194,17.81362024293474,2.0977162498626494,3.0405272829570498,1.1120309487188407,14.716843395394177,1.024468886193439,0
880,0.9339433719663647,-0.06833947217767536,13.093874001428748,0.6397356437549241,11.729159098486202,0.3493417871637054,4.638721329231467,-1.1974112183859649,2.621684685708192,-1.8914060617616302,3.003411164736692,1.0997486976230166,4.974732195199802,-1.105361765158124,0
881,0.904376224331887,-0.10050982780945492,4.465512789348529,-1.2466784794793389,9.148758255745413,-0.17066135958961884,10.0551094941144,0.011022010405338995,11.144504026315198,0.22990818370061963,3.024561621849619,1.1067661625842993,17.061208951096173,1.7588091152869363,0
882,0.904640468419555,-0.10021768668040272,5.048845766316554,-1.0856288470851374,5.411308106308735,-0.9917558430102851,6.530953202069927,-0.723841317715186,3.0359220475870643,-1.720582863590376,3.0284044635704332,1.108035901149783,11.52368445015976,0.3071285665360068,0
883,0.8975489032290728,-0.10808767182661694,2.648682401056778,-1.8796061366103174,6.882955339336878,-0.6448643887706743,9.675731090160038,-0.06487652764103774,8.8477920661431,-0.23146955543438738,3.035897571663609,1.1105071210405346,10.574768944946463,0.11508062735737769,0
884,0.9150648048662356,-0.08876039122416547,19.09014390556525,3.0436410059389294,18.588617187954096,2.5779794726775815,12.57007956039056,0.5258042012898145,13.686891257841665,0.7738103079214697,3.0325976450911765,1.1094195608530992,8.290338852736683,-0.3453233969614734,0
885,0.9096501748536066,-0.09469517661859149,15.873596689556685,1.347250984959173,13.909611964040607,0.8258683127610993,7.748399764020505,-0.45817021998468427,8.127715043549467,-0.3789268569302753,2.9984981213673647,1.0981115371020906,7.783827939919963,-0.4507124123179334,0
886,0.8892923514600714,-0.11732924324315684,15.837448836437915,1.3362491683318425,14.456319946519606,0.9584731356716153,7.440422306222674,-0.5235559285446911,7.355061390184955,-0.5418683244655262,3.0075917988367133,1.1011396917048482,7.393697663635132,-0.5335689040728434,0
887,0.9057158470973891,-0.0990296566831026,4.358119555551924,-1.2779112911822375,18.39645545142239,2.4399414856952575,15.123652475266343,1.1318634258194424,15.573298591538691,1.257903115351471,3.0358762540980213,1.110500099182936,18.280757152252086,2.3639649957666133,0
888,0.9030628679925817,-0.10196310673435528,7.299183823855735,-0.5539037202852792,6.891892009314617,-0.6428853197832277,3.551771195677521,-1.5327713925208146,3.10230659562051,-1.6950312297493755,3.0242515495768547,1.106663639241538,8.577013893709637,-0.28654182857169297,0
889,0.8518076896682188,-0.16039449398244685,4.94552489399039,-1.1131921903817645,10.935035496689018,0.1875549718736704,4.333660272020588,-1.2851019310605718,2.429622366852519,-1.9784785543443009,3.0200476951187083,1.1052726243477338,11.530320987664371,0.30848756230282026,0
890,0.9574757393867563,-0.04345489570341952,6.1007759387547615,-0.8234170494822994,10.976703385862649,0.19596540732983297,7.428630807057921,-0.526080379371075,4.4872340350539925,-1.2404268114823067,3.101066733455624,1.1317461598660008,8.20825716516085,-0.36225890779036674,0
891,0.8690093499708385,-0.14040139431451423,7.292375501614769,-0.5553728170267695,9.155279990114112,-0.16934756554855385,7.563921398413647,-0.4972120534591847,7.347935514309031,-0.5434010109447042,2.9439351812322476,1.0797471833797656,14.149947470353048,0.8832602711095355,0
892,0.896972738902808,-0.10872980879786928,8.2259307730144,-0.3586081360964244,8.536633269309245,-0.29478974986792067,7.465175105241947,-0.5182618746605344,9.569942571433991,-0.08606457054029104,3.044738523834049,1.1134150268127112,15.167812481604512,1.143876315178353,0
893,0.9130723905924172,-0.09094011282014725,2.7499671529550866,-1.8362250804248959,8.013946121588813,-0.40256050798251897,3.6189594268225416,-1.5099380701014926,1.22544862710083,-2.7291952992888895,3.007094985577838,1.1009744916610844,9.705563181744704,-0.058904389590016745,0
894,0.9359327203198283,-0.06621168508821945,7.707861978181887,-0.46671902871005844,6.2535493097114605,-0.7876314670616085,3.242860915300352,-1.6423684427397574,0.1693225034847837,-4.76318018509385,3.0326079922270273,1.1094229728184866,13.966652752623329,0.8393705862312268,0
895,0.8980544173327218,-0.10752461414988435,11.600138349286587,0.3228017891433653,15.072721340483785,1.118099736720728,18.65761878729069,2.631809515401626,15.552980749475257,1.252018267926429,2.9606702130024622,1.0854156660177223,4.509304606817371,-1.2340965940102002,0
