,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,9.2824,3.7805224824090122,0.044046621890901,2.0,16.0,6530.564096699064,1.0000554113277575
hyper_alpha_sd,4.879153023265679,2.8119333091814904,0.05032277675277917,0.22529031297951185,9.458753967979913,3001.7677995713316,1.0008229315715151
hyper_alpha_mu,17.506858540846775,5.181494662318151,0.06703104164183385,7.727158786005339,24.99911259740557,8181.206813005615,1.0005171109129158
hyper_mu_sd,4.796278960816207,2.8546931419963126,0.04070305788974908,0.17964656820462982,9.511853525917726,5833.127988772423,1.000270696023091
hyper_mu_mu,10.933700994747698,4.082483933683889,0.05206720896595437,3.1916574150850736,19.993288759303624,8348.731906934307,1.000054452020509
alpha,19.5492677034628,6.63596974058217,0.06905377480380769,7.203271938105972,31.77054375418216,9991.908565683862,1.0006389200138774
mu,9.267502207595182,0.5226485281157347,0.005992651219533905,8.25756010067716,10.294961218238646,9508.842561486887,1.0005173995551433
