,hyper_alpha_sd_interval__,hyper_alpha_mu,hyper_mu_sd_interval__,hyper_mu_mu,alpha_log__,mu_log__,y_pred,hyper_alpha_sd,hyper_mu_sd,alpha,mu
2703,-0.9914896515191408,1.5044607893475987,-3.434791719672364,0.5693703627052777,-29.490245931031737,-2.324837161241176,0,5.412358880289139,0.6245130748490083,1.5579335222474025e-13,0.09779936828251876
2704,-1.1400071246571133,1.5067817648166826,-3.3607265433567215,0.6154830079999533,-18.40511438089787,-2.3749214378576746,0,4.846381058061502,0.6709132101560044,1.0156881499898344e-08,0.09302179691525388
2705,-1.3044713460708768,1.4487104417949757,-3.4407147704886976,0.5392309588693085,-16.07901622369816,-2.2945297328573053,0,4.268269170599122,0.6209394893456401,1.0398530730507491e-07,0.10080878918430747
2706,-1.2034084576713693,1.4400103411378287,-3.4258566169742646,0.5869747882238584,2.8258761976655773,-2.3297303586885647,0,4.6173885173934455,0.6299416230115924,16.875724980878157,0.09732198557970655
2707,1.1767008047936078,0.5726673603918957,-3.591028496979725,0.4065059463311247,2.027341724074395,-3.588824219367457,0,15.28708162485264,0.5366050251180209,7.5938728947025025,0.027630799089925634
2708,-0.5897832019756094,1.570957323049942,-4.082744761768258,0.3429690591220148,-63.749788476149995,-3.586430018183947,0,7.133691987707112,0.3316307792112978,2.0597695913429313e-28,0.027697032037670634
2709,-0.5121931567351782,1.57910399751943,-4.046429522989582,0.39933137309893374,-21.31502532457043,-3.5344599281494897,0,7.493590785807246,0.3436846205163744,5.533528102766321e-10,0.02917450906648687
2710,-0.44662968521110524,1.5558029215277003,-3.964065060336417,0.2755545703177542,-18.427332449334504,-3.5296575119410805,0,7.803247734926667,0.3726407035011331,9.933703682405784e-09,0.029314954169694128
2711,0.7863180486185185,1.5921391748839568,-5.158372971819672,0.125967584576891,-15.549699676958232,-2.138334246268864,0,13.74080395962526,0.11436327511336711,1.765432978679288e-07,0.11785099033673509
2712,4.234939932796177,0.8334817970828862,-2.5497064010871076,0.4458862359259661,-45.90532278806905,-3.045747350648325,0,19.71452033988861,1.448924241478379,1.1576349316588959e-20,0.04756075414165316
