,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,7.493675,3.8212380185451678,0.04786085894287732,0.0,14.0,6309.642214655256,1.0000342690702544
hyper_alpha_sd,8.299795451425672,5.489947865831698,0.07570553162137526,0.23725856489258002,18.17164812894909,5778.714470173534,1.000542576453104
hyper_alpha_mu,11.1532274156316,4.237984581835,0.04185809500253369,4.378293539659058,19.7863595845056,12004.334182152814,1.0002393385628754
hyper_mu_sd,8.573239597941454,5.510450344533648,0.06804448545314587,0.28472627566276026,18.445956998116685,6029.461113437133,1.0002175937984221
hyper_mu_mu,10.810810323513802,4.2666828283598015,0.03976748095581908,4.457170391435198,19.990269097111334,10556.90821127574,1.000187001660354
alpha,8.46077342860667,2.060168938460148,0.019730653452184423,4.955689803452489,12.530659788000683,11105.822342253641,1.000222644194731
mu,7.501257314267083,0.2683215990947085,0.0025064312428918515,6.977510255216561,8.024243213783166,12670.41179584055,1.0001921466747121
