,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
hyper_alpha_mu,1.9098114729776823,0.8665378265272758,0.024811810894375622,0.27922326650950197,3.5093033681044403,1182.4177336604155,1.003770065564875
hyper_mu_mu,2.79946972275973,0.788261771512844,0.02503163026050607,1.454610593854517,4.584838654180636,666.4364814413805,1.0053340905346142
y_pred,2.43885,1.5855316702923345,0.019257220074559052,0.0,5.0,7844.646055867976,1.0000599343307548
hyper_alpha_sd,10.464931587425317,5.391035525744507,0.1689918079260341,2.133989821762286,19.963277880006615,968.557521227272,1.0007058518400056
hyper_mu_sd,3.7676284728773943,4.142636788627058,0.09159479048468569,0.004113495264380426,13.224248423968678,2216.3900975106503,1.0009408167994414
alpha,1.8365474860528965,10.369115026306424,0.06207253116194513,1.24e-322,7.570681493933677,30482.381030887514,0.9999754091025921
mu,2.451413160131613,0.23097394934313098,0.007324525092050225,1.9634122433252235,2.8715209704810145,690.3134478856588,1.0028628172548724
