,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,9.4645,3.1060810919871362,0.22577814885413514,3.0,15.0,123.96004546893941,1.0271894951794225
hyper_alpha_sd,10.066120513261813,5.708446147710778,0.20862895806170934,1.0470820902853513,19.77398943163676,704.9819436268215,1.0043670604588655
hyper_alpha_mu,9.67790986696806,5.729475873765963,0.30586360305030263,1.3681946332163062,19.984748358112455,166.41919475748713,1.016861127234386
hyper_mu_sd,8.200140899571288,5.502236898349184,0.14533358236388488,0.17378858174583597,18.25529053674519,1286.9665814552957,1.0003856593657527
hyper_mu_mu,11.571933528654808,3.9381772041212,0.09346012321615006,4.8892453240007026,19.475976992492008,1481.8033051877972,1.0011968556482536
alpha,9.64986660601087,12.311546544610689,0.45051755456712844,1.1370601742761752e-164,31.72992009139241,444.481697823065,1.005814225618098
mu,9.26555668130266,0.41964942925418025,0.006924594524290039,8.456353310975299,10.074014163236678,4137.365451129963,1.0002873726227273
