,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,0.0275,0.1635351644142629,0.007595228765481657,0.0,0.0,310.24697358315706,1.0053958672662549
hyper_alpha_sd,10.820869816646654,5.605946763291331,0.21908092951864497,1.4986644776977718,19.872831760689643,275.8172363371216,1.0229286770589507
hyper_alpha_mu,8.796956878415662,6.294287653591687,0.43382358272314675,0.1654471006296126,19.094170934897146,32.228922179514264,1.0673916588868735
hyper_mu_sd,12.704023904417172,4.858063218706118,0.1214381822974864,3.7199233137111527,19.994788742093363,1633.3872369833837,1.0000758097693154
hyper_mu_mu,5.500878575680966,3.156509021938064,0.07142442082306412,0.07141813897490698,11.250326288156518,1931.684353643507,0.9997132231235517
alpha,8.436715518636813,11.926051425268934,0.5574841877803354,2.2101262823466e-310,28.884521618466927,96.63305774513621,1.027456688478787
mu,0.023235084572988764,0.021463115025229584,0.0003398111689843214,4.2806489614342637e-05,0.06681492049362463,4057.848069921511,0.9996926735369
