,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,6.747475,2.6037196708507238,0.03096470763223836,1.0,11.0,7824.151462447575,1.0000716671916792
hyper_mu_sd,8.589323610870874,5.62145482871393,0.11099966694722259,0.13973971842115343,18.41051013548216,2198.828857165003,1.0004471419918664
hyper_mu_mu,10.401863716272986,4.3824861454429485,0.058857787246632466,4.019576370183883,19.762886623182126,6900.3780524205895,1.0002909449396769
mu,6.738634550498403,0.363423792619335,0.006262083676430584,6.024358533441373,7.433357247390262,3012.9923010493135,1.0006820554991451
