,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,0.066675,0.2584171905562786,0.003302282354675323,0.0,1.0,5556.813191612519,1.0002800017859816
hyper_mu_sd,12.573405539671079,5.0654582649334685,0.04245538727900778,3.2893063626583308,19.999634435938216,13533.815238748459,0.9999688709119459
hyper_mu_mu,6.029107264905716,3.532040372527522,0.02610809035782925,0.28834968090175583,12.901262371532676,18611.098379739484,0.9999722782242617
mu,0.06339975163301907,0.03530561314996581,0.0002343114851805879,0.007834162982686393,0.1331741289870508,20509.314286120392,0.9999624011139391
