,hyper_mu_mu,hyper_mu_mu_interval__,hyper_mu_sd,hyper_mu_sd_interval__,mu,mu_log__,y_pred
3874,6.265232801237697,-0.784914623240091,7.931932957727204,-0.41966611816233845,5.5099933932613325,1.706563424118974,2
3875,12.342277401286259,0.47731592717440363,18.308161548395596,2.381531167825629,4.607245390687408,1.527630149281825,2
3876,18.722393633630944,2.684732026944466,19.855308388055835,4.921622012093337,5.484782719244769,1.7019774793135227,4
3877,7.54708175728121,-0.5007940261219972,4.212713708774491,-1.3210979245589207,5.087310407074973,1.6267492836516932,10
3878,7.54194641661466,-0.5018869937996293,4.5317565563609,-1.227679487033662,5.127528761322929,1.634623820177907,8
3879,14.204271417346725,0.8964215284410042,16.41069763049553,1.5199755591478352,5.538763216806587,1.7117712297722876,8
3880,11.767164304187238,0.35718245518238834,13.823644579004345,0.8056521414974076,5.199978332079414,1.648654458670895,5
3881,9.729703607349949,-0.05407244956566294,8.474499266259116,-0.30750046765821926,5.104406849151427,1.6301042546900093,5
3882,9.1807154189247,-0.16422501724324465,4.42472851450777,-1.2584755714476943,4.418076586905558,1.4857044400458523,4
3883,7.010768915604871,-0.6166732526234499,6.203285278105774,-0.7993514649128911,5.056225205465362,1.620620198072787,4
3884,7.353677177300474,-0.5421660026139041,2.9228297186219914,-1.765190271499016,4.8974942157506325,1.5887236897742243,6
3885,4.4378001019854105,-1.2546861092460282,1.367229305293046,-2.612135608639756,5.614907012798995,1.7254250275544367,5
3886,4.4378001019854105,-1.2546861092460282,1.367229305293046,-2.612135608639756,5.614907012798995,1.7254250275544367,5
3887,13.720999068663879,0.7817165576048316,16.641395835645575,1.6003678558428391,4.758440793549099,1.559920050201957,3
3888,9.249611832977463,-0.15036027584062556,17.314247662495553,1.8635688379668705,4.509864621402111,1.5062671356365853,3
3889,18.763407928260282,2.7195493195849454,7.227252107622632,-0.5694549344994573,5.459108628794373,1.697285521629733,3
3890,18.00442818815653,2.199687106342316,9.236023734807677,-0.1530935665412424,5.422902173508223,1.6906311285127789,3
3891,16.55493320063797,1.5697408414815264,12.375949630947538,0.48444727039100766,5.21196987379212,1.6509578790832151,8
3892,6.57088131998523,-0.7147774185789012,6.01715820808522,-0.8432159022699234,5.20473232624161,1.6495682744701294,10
3893,7.16586999604054,-0.5827785519862381,4.584669966983535,-1.2126443488815226,5.241888115899521,1.6566817608923419,10
3894,11.740570249290666,0.3516948387084218,14.047635987959413,0.8586656709405571,5.295309028493775,1.6668213396721263,8
3895,8.152444966860266,-0.37380364177885156,3.6367823500210683,-1.5039366687650786,5.812171919111955,1.7599543252967011,4
3896,14.006106040830144,0.848752102729791,17.35766130724385,1.8823695893557766,4.636358006695346,1.5339291456830377,4
3897,9.345555559835915,-0.1310762343314895,6.458561166748589,-0.7403479638377155,5.705224772120238,1.7413823816825649,4
3898,12.056212336393791,0.4171898764445313,4.041258162026194,-1.373450686973007,5.605072258188243,1.7236719481784462,4
3899,13.484532382753947,0.7273642956659594,19.72154626284685,4.2602151047600465,4.702322048839915,1.5480564396567023,4
3900,3.138780588817074,-1.681181898668017,19.923426151766137,5.561395900334279,4.963345847751045,1.6020800793982448,7
3901,6.28114300229865,-0.7812193389675488,19.84773008803282,4.870190243612639,4.712413921492194,1.5502002866109525,6
3902,14.017417111595101,0.851448239939969,19.889405556745558,5.192072638859024,5.270740504452567,1.662170865861074,3
3903,14.527158433336215,0.9762219293878458,12.351188145957908,0.47920194201792077,4.868691659109103,1.5828252478404252,3
3904,5.955894231298729,-0.8578214331961145,11.020788546107314,0.20487128998493198,5.289406784282342,1.6657061005050895,5
3905,10.307219758362734,0.061463293709537514,9.829902842252537,-0.034022713071439475,5.2456589456324165,1.6574008670614522,5
3906,7.249756151343894,-0.5645825628027962,9.335278628326833,-0.13314060184096654,4.988811188203291,1.6071976425430317,5
3907,6.8788904035845455,-0.6457649924476657,7.660053582171306,-0.4768226975249852,5.415670526766925,1.6892967004447308,4
3908,8.687312969965067,-0.2640611599090857,12.463380584638042,0.5030210634598746,5.202087666097477,1.6490600192676736,4
3909,12.70976244500137,0.5558342627163382,12.203508114595735,0.4480495865387753,4.886839607612399,1.5865457975350579,4
3910,10.000128061054474,2.5612210896364118e-05,15.00168753775692,1.09906234937718,5.011328820670101,1.6117011135952297,4
3911,11.038254446947843,0.20840189245698448,7.987687218605615,-0.4080309304811698,4.818393641583114,1.5724406031348304,4
3912,16.428317693111364,1.5259698152034682,12.86066781360098,0.588554406318641,4.614661144321072,1.5292384404099075,3
3913,8.893181922533257,-0.22227425393061284,15.151452796133382,1.139417307009909,5.635441602465113,1.7290755122055486,3
3914,12.558260258761983,0.5232739793187791,13.9742418414637,0.8411724596096538,5.3199884715448285,1.6714711363483532,3
3915,12.304539342021709,0.46933761640864413,7.118178757885058,-0.5931652111938338,5.056511521002641,1.6206768228114903,4
3916,9.706847855170055,-0.05864723293932095,11.824729776272587,0.3690793110888302,4.937168808006744,1.5967920511180935,5
3917,4.3648894036623185,-1.2759262126289088,5.670786576322565,-0.9269725160496298,5.367281640520276,1.6803215681585082,5
3918,13.980455921010893,0.8426488265839475,12.711437800824212,0.5561959050186653,5.390974781261942,1.6847262185253573,5
3919,13.229397786595683,0.6698514221114404,7.150871747995663,-0.586041696658492,5.096538408426347,1.6285615658338493,5
3920,10.403200439095006,0.08068382951689734,5.283478897898755,-1.0243859842675924,4.8742440131040645,1.5839650181894944,3
3921,12.57024981499409,0.5258406606215598,17.07273754559051,1.7634152253048976,5.014996790357549,1.6124327814052293,4
3922,13.315122622025864,0.6890525610135747,7.51447152437712,-0.5077395537190065,5.16649121965715,1.6421937771948099,6
3923,17.211367145607543,1.8200185867033571,19.481692791370754,3.6266623390453696,5.218967654091836,1.6522996149206362,6
3924,16.384098842391943,1.510970174275691,12.273377601823883,0.46276067410014954,5.284930758946815,1.6648595178072023,6
3925,14.627705404204821,1.0016622446279169,10.181100021690845,0.0362239648354683,5.589208846465527,1.7208377470013916,6
3926,8.487273962053504,-0.3048851748547524,14.543668085716813,0.9803789623654762,4.7349477769826125,1.5549706974288806,5
3927,9.41143575219445,-0.11784905496224138,11.587873964817117,0.3202849629819104,4.688091333184976,1.5450255344196124,5
3928,8.750583383039576,-0.25119590054126045,5.8197441617208,-0.8905942608230578,5.822570861903626,1.7617418930592996,5
