,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred__0,5.056625,5.975528730528036,0.595943796505803,0.0,15.0,2.4508467629688004,2.8201415865487607
y_pred__1,4.6983875,5.069698452556377,0.5044301631219008,0.0,13.0,2.4585304327907442,2.6638557342861224
y_pred__2,11.2300625,7.381729725889126,0.7367019292883571,0.0,22.0,2.38413257851678,3.0162638690869983
y_pred__3,4.3308,6.41930653263952,0.640712262964039,0.0,17.0,2.101590517317714,5.175758047977036
y_pred__4,4.4930125,3.5280307786127514,0.349011076603863,0.0,10.0,5.473045136813755,1.4970817825904577
y_pred__5,6.7420875,7.576509330974436,0.7557744023216767,0.0,21.0,2.108762440724447,4.890966997903414
y_pred__6,6.7337375,4.0873392055337066,0.4049921729548456,1.0,14.0,2.30181085435033,3.1548268420779375
y_pred__7,8.9960375,3.1936416202503857,0.3142325010317798,3.0,14.0,3.4399240924854566,1.747086882785604
y_pred__8,6.7874625,2.1077631060191795,0.20244500136997087,3.0,11.0,22.494734613909163,1.0515338191509842
y_pred__9,5.9079875,3.9468843661610897,0.39157334318386317,0.0,13.0,2.662008702675276,2.246722394028003
y_pred__10,3.9716625,2.3271300965134727,0.22740446143312026,0.0,8.0,3.4792664604086063,1.6855477609906968
y_pred__11,5.8681,2.5263565445124962,0.2463573094105389,1.0,10.0,13.669984459763196,1.1719709264472755
y_pred__12,5.8172,2.6853834288613605,0.26222817659435455,2.0,11.0,11.661811599614078,1.1088777383913209
y_pred__13,5.038225,1.7749546048767528,0.1694109419245109,2.0,8.0,15.771503484305125,1.102317481038785
y_pred__14,4.1585125,2.9578643118528762,0.2906769102537859,0.0,10.0,9.38149303373868,1.235692963938094
y_pred__15,4.272725,3.3583472236180145,0.3311617690891417,0.0,12.0,9.179416034157626,1.2276896535192732
y_pred__16,5.4137375,3.5067126744413,0.34682511195080373,0.0,11.0,4.889864032554219,1.4985735999978147
y_pred__17,10.339675,5.527331715609422,0.5500993295589897,1.0,21.0,2.5248818448459316,2.6073691286098204
y_pred__18,9.4808625,6.3802828116078585,0.6354715138420348,1.0,22.0,2.2822828205959604,3.3979661063896645
y_pred__19,9.031275,7.119099091483097,0.7097503357211252,0.0,19.0,2.2085358411788354,3.7214917660782536
y_pred__20,1.4538625,1.7987415965325393,0.1728346989313416,0.0,5.0,12.199098279292667,1.1690402744929085
y_pred__21,4.652675,3.1786735196271403,0.31329454991469297,0.0,10.0,3.579691783076768,1.7374718692187414
y_pred__22,8.21705,6.89877810177211,0.6882144339066858,0.0,20.0,2.186367702210131,3.9446889284320776
y_pred__23,8.6754625,7.846109731012737,0.7826316410145885,0.0,21.0,2.869446915552935,2.2600110606883668
y_pred__24,10.3998375,8.84783546827323,0.8831953278180811,0.0,27.0,2.168901923488736,4.211838069220524
y_pred__25,8.9380625,5.8707645367625885,0.5845754611721976,0.0,18.0,2.7032673170432893,2.3024122974487278
y_pred__26,5.0273,4.977600296327675,0.4956693046780282,0.0,12.0,2.4765386678070658,2.6782474323047745
y_pred__27,14.5122125,3.639168978605755,0.35996113499194254,7.0,19.0,3.0460287537802913,1.9614147413240774
y_pred__28,3.340125,5.2692470984355255,0.5252970107769983,0.0,15.0,2.208344829688505,3.8835051716661426
y_pred__29,10.1755625,9.394303609565496,0.9379560401437732,0.0,26.0,2.1263459974010632,4.6907540163403745
y_pred__30,5.0601125,3.0317031496076146,0.2978119457471233,1.0,11.0,4.060604789091897,1.6204030318213247
y_pred__31,8.0699875,4.3124893333021515,0.4274984581459768,2.0,17.0,3.2559531003864075,1.881186290960149
