,alpha,alpha_interval__,mu,mu_interval__,y_pred
11506,9.650021971616157,3.3168450947150587,0.032334621442227054,-5.7309631434357895,0
11507,8.313415290132752,1.5951649075485732,0.04495317719712846,-5.400213478596112,0
11508,8.577539838490859,1.7967592596165312,0.045652504283982855,-5.384706205074482,0
11509,2.369157837810072,-1.169663665026977,0.04412471847493587,-5.4188980013811925,0
11510,2.369157837810072,-1.169663665026977,0.04412471847493587,-5.4188980013811925,0
11511,7.758496794618621,1.241641888768281,0.033911954028527536,-5.683175834998584,0
11512,2.672890225346044,-1.0084207689211313,0.045305471271326,-5.392371727004609,0
11513,1.8448760085434808,-1.4862343691124942,0.07003356672465119,-4.954337724946661,0
11514,0.2347556764982967,-3.728039564493228,0.03840713072490807,-5.55824912611032,0
11515,1.4747705202678252,-1.7545275430423426,0.03629328259107041,-5.615071770167698,0
11516,8.665231516129007,1.8705607848565005,0.03618630684397875,-5.618034394916701,0
11517,1.530913340195472,-1.7105581588030045,0.0315154107496528,-5.7567071979917515,0
11518,8.849436013628454,2.040101484626633,0.04722121913871599,-5.350763716026986,0
11519,8.088520986940852,1.442568599658979,0.04021614315698828,-5.512042163136739,0
11520,2.1578293830349535,-1.290412859282637,0.031077172908303516,-5.770754256108036,0
11521,7.96062300978708,1.3618629000962095,0.04064836980928557,-5.501308518992245,0
11522,2.276417021163704,-1.221675647849834,0.0243298314116576,-6.016201196787982,0
11523,8.550875738210596,1.7750742866351055,0.03053230397448075,-5.788497201143886,0
11524,4.911599405250549,-0.03536392296986568,0.03317103300968889,-5.705340759526626,0
11525,2.7626388401498483,-0.9630703348160063,0.04708132616963957,-5.353744670767518,0
11526,2.7626388401498483,-0.9630703348160063,0.04708132616963957,-5.353744670767518,0
11527,3.2752705328485905,-0.7193912256203379,0.032930564855226066,-5.712640631995342,0
11528,9.218046404444635,2.467123009317266,0.02507660470249786,-5.985894234147237,0
11529,8.495361713979552,1.7309678060505447,0.06067769743887183,-5.0986779107137234,0
11530,8.371479085805746,1.637158393386005,0.05238382462599421,-5.246490367755554,0
11531,1.8420406218792675,-1.4881200707636073,0.04278031036937226,-5.449975205343264,0
11532,8.345096756868129,1.6179316078827803,0.035759198033697294,-5.629950519585502,0
11533,1.8072962148316338,-1.5114120514026128,0.04311068804910782,-5.442249034774964,0
11534,6.893762121713599,0.7972046538882757,0.03238938300921126,-5.729265492763783,0
11535,4.977335023472287,-0.009066052707982886,0.04506411486154824,-5.397737525566317,0
11536,5.905869672088107,0.3663923954285484,0.034233410652610555,-5.673709071011384,0
11537,3.891032133629019,-0.45108338118815205,0.03190091862419049,-5.744510374550499,0
11538,0.5304772619164103,-2.882056692138055,0.032991918835520655,-5.710773078053737,0
11539,8.203359723896517,1.5186253852635296,0.04270527927494217,-5.451738150292007,1
11540,2.6317419763824796,-1.0295353424637383,0.04662522762368293,-5.3635251857882436,1
11541,3.4466688363344606,-0.6425652850629515,0.04378451528945906,-5.426672084285583,1
11542,1.080249447960931,-2.1110759963820653,0.034131759148917785,-5.676693053698369,1
11543,3.874815325557142,-0.4579109031568087,0.040335981290637736,-5.509054710340725,1
11544,3.874815325557142,-0.4579109031568087,0.040335981290637736,-5.509054710340725,1
11545,5.014585784596558,0.005834330388331033,0.048547754172891075,-5.322925838214323,1
11546,1.8137533874355811,-1.5070571108978124,0.04629404017713773,-5.370686988150187,1
11547,0.9038622320849348,-2.3089282306623096,0.05004685462240002,-5.292363462055149,0
11548,1.674486710609881,-1.6038180134617037,0.0275840219272809,-5.8903414689731,0
11549,1.398979639819991,-1.8161377005576282,0.0692759161335237,-4.965291357946806,0
