,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
hyper_alpha_mu,1.8995455645348789,0.7518860876967672,0.006506650913184671,0.49175913366480734,3.367752756712253,14979.522645765808,1.0001978275456649
hyper_mu_mu,1.5227475318072226,0.689956289195139,0.0067279990923208,0.36075687947074825,2.927887103618022,15893.084000697832,1.0000524932620816
y_pred,0.901175,1.1630815188003805,0.01614030107370987,0.0,3.0,4535.698357226079,1.0002861424892557
hyper_alpha_sd,4.496034663275258,4.541042371603965,0.04529404503921054,0.053939856651568086,14.778765453728917,10274.355125501597,1.00037749014857
hyper_mu_sd,3.5500388081027303,4.071017102433461,0.04353350698048778,0.030803882439684304,13.02817392207432,12454.576869994924,1.000285638377533
alpha,5.399310793742063,17.560238673468294,0.16933740024958477,0.33849876483752844,17.012964848588677,10133.375214426613,1.000337691479965
mu,0.9064962584576524,0.16159290595723166,0.0012628333903885458,0.6061389158658799,1.2293139118998495,18061.509685133507,1.0001293581348318
