,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
hyper_alpha_mu,1.3199101231961947,0.6616256606109272,0.007116069367504138,0.16172028754719053,2.5856606227539087,9369.581582588728,1.0001893651889153
hyper_mu_mu,1.140657563211664,0.6246254676420975,0.007362751841358097,0.0962943188364907,2.347538103449707,7819.680432042093,1.000083061422398
y_pred,0.0441,0.26211674879717245,0.005145206507031569,0.0,0.0,2502.838311063652,1.0004310527885751
hyper_alpha_sd,4.420709341432213,4.4879466117871,0.0779374360083595,0.0252778787752533,14.667608466956253,3707.4667273044115,1.0016591430214221
hyper_mu_sd,5.280900955946808,4.465427501617239,0.08840704395545058,0.0547747369805404,14.89930322897973,2174.2317526545344,1.0016862646323856
alpha,4.930076745091408,22.626354405364065,0.15754334972135603,8.416033080562198e-05,17.29080758624028,19129.429818507262,1.0000253449902197
mu,0.11107156238488189,1.2081867422762556,0.01315387301311061,0.00031518242757790164,0.154214154732054,7527.9509667979155,1.0002785945063444
