,hyper_alpha_sd_interval__,hyper_alpha_mu,hyper_mu_sd_interval__,hyper_mu_mu,alpha_log__,mu_log__,y_pred,hyper_alpha_sd,hyper_mu_sd,alpha,mu
7460,-2.6085846403578365,1.4814838817925937,-0.8850073568683721,2.9744470441052075,0.8981028399488968,0.14196920118459175,0,1.3717593376817274,5.842824144232811,2.4549412739168286,1.1525411510882053
7461,-2.8802936573804288,2.836969787940094,-4.416957788514542,1.0534412170721477,0.9468945918589936,0.298566025640496,2,1.0627271941701546,0.23853859892660784,2.577692430316514,1.3479245318393451
7462,-4.047005984340425,2.448363616637222,-4.450513318810227,1.5670943202860166,1.2701455070798238,0.3247768118221638,4,0.3434899583557594,0.23075793461894023,3.561370729311118,1.3837217811715745
7463,-3.830381909510837,2.284669578182957,-4.328930746232052,1.654813215458027,0.9699587461587744,0.3149088909906907,0,0.42480763310617503,0.2602027913125816,2.6378356362569653,1.3701344736756653
7464,0.1575694372299506,1.8860570506575633,-2.6001316085226707,1.2369273277253825,1.7831637012280803,0.3318394169546869,0,10.7862211589493,1.3825990144590645,5.948646419927702,1.3935290534050195
7465,-1.0293704436566842,1.1367091600694899,-2.2167718439140893,2.384122243113972,0.6033207443931625,0.22798614081012583,0,5.264123499965456,1.9650889976324557,1.8281796488753066,1.256067917227953
7466,-0.07144904019887605,3.9386996636682596,-2.236549694012319,1.997105716423563,2.2394865786261224,0.3882407623080989,0,9.642906698492835,1.9303198417193503,9.388509788224185,1.4743847178268077
7467,-0.08165978292681715,3.5263511650710293,-2.846818598452013,2.642531397243521,1.9959448661487622,0.5135862353862005,0,9.591927823160987,1.096920021593535,7.359153158605224,1.6712740426955266
7468,0.25948558280617084,2.3662614442030527,-1.7051895346413608,2.7347586380427704,2.7442018176349645,0.3959049667650003,0,11.290196649211406,3.0757739350398783,15.552195488575972,1.485728117292821
7469,1.3470325063915147,4.981001710903933,-0.8271781245801916,3.649993143162154,0.5182754323936838,0.11500775024463059,0,15.872881116921697,6.0848414258125825,1.679129379151358,1.1218821323992176
7470,0.930696298673475,2.664440085425582,-1.8940357376424157,3.250127295012399,1.7664364335285376,0.0578824204605842,0,14.34433056087907,2.61570003249235,5.849969417945856,1.0595904022341451
7471,-2.06919965976947,2.3149120937372722,1.1293543246646505,2.6424055828258464,1.3497659063222545,-0.021948994273487774,0,2.2425338226913367,15.114394446325822,3.856522637452787,0.9782901321776111
7472,0.9094680723334587,2.984238682022308,-0.7099009999340359,2.3924316348988586,0.9287373657585606,0.3335562085128583,1,14.257826031347001,6.592414319115124,2.5313110390094944,1.3959235071208222
7473,0.21390917725995828,1.8762419809648014,-3.754467587917284,1.0014055762638747,2.3518191563248574,0.1296304344621872,2,11.06548618160928,0.4575457729829558,10.504661975841518,1.1384075893609251
7474,-1.458050584990486,3.448049704212341,-3.1197539938390073,1.8027030208257777,2.328203789285765,0.3648244803102062,1,3.775313284904986,0.8459947308980941,10.25949675465494,1.440261191765139
7475,-1.6932572628006664,3.572246712087038,-2.219629169285764,1.6966317489910656,1.400446697282506,0.2542616368755282,1,3.1069591702197585,1.9600315966811568,4.057011818294314,1.28950914327893
7476,-2.156924068740409,1.855637554385415,-1.7475081118473095,1.531114310734824,0.35686298131412186,0.2322586557199445,1,2.0737193085085397,2.9672354736440947,1.4288400786507498,1.261445966849572
7477,0.1835377238683733,1.6555461462322008,-2.661271760072921,1.6081080910139278,0.9031070570966311,0.15760795476324363,1,10.915121155527995,1.3059534008731415,2.4672571230267883,1.1707071345716338
7478,-0.32752653721040514,2.1191269019530887,-2.828329833801145,2.1566231766650703,1.6559431863771779,0.2483724050536204,0,8.37685152364316,1.1162469191690614,5.238018020278701,1.281937243219785
7479,-0.8939402821219435,1.7939765569944246,-0.5097727355872208,2.1768743053730097,2.126819617997319,0.3012075321788606,0,5.805947226103877,7.504936062522221,8.388146832869877,1.3514897900568013
7480,0.3829281327663734,2.33072860687077,2.0640536624329875,2.7107963911416233,4.538414837039574,0.1319686299761284,0,11.891582767568377,17.747199585028902,93.54240258160586,1.1410725232334837
7481,2.492189955299775,1.452412638472039,-4.827842838023689,1.3806985577630069,4.21025020583012,0.3905046658962479,2,18.471849798375423,0.15880432861053956,67.37339491760895,1.4777263638347684
7482,-0.24132562931609058,2.4704722214180963,-0.7340592941567855,2.3249019406919342,3.485130000277687,0.1944236408883039,1,8.799193922636853,6.486091522352933,32.626668310115164,1.2146107327473203
7483,1.5838050141833273,1.7745165596656955,-2.8638083276964967,2.521996365391121,3.186760829863972,0.45299142562746075,1,16.59485451897816,1.0794384127368917,24.20988037660359,1.5730106988766108
7484,-0.08143207350608395,1.9807210968748703,-2.137225943107239,1.3837656251840065,2.028931241637745,0.40511230941033316,1,9.593064479599082,2.1106191587437966,7.605953087338212,1.4994708952924671
7485,-0.0007878064384111427,1.9348775426209783,-2.617455779149725,1.7254083975102603,1.6259356884480605,0.3698992864472329,1,9.996060968011669,1.360468208315252,5.083173079011741,1.4475888155089165
7486,-1.9952989347723906,2.035084198423212,-2.82072485161988,2.144996079080853,0.7621900804574174,0.2212545767031141,1,2.393947759482055,1.1242892926689598,2.142964349275634,1.2476410104732427
7487,0.37071322998373013,2.2646455203901437,-0.4995869028232733,2.479290031002328,2.3109346239087434,0.09421722963079418,3,11.832626173866618,7.552755061561134,10.083844854649168,1.0987984115668716
7488,-0.18624039224933736,1.4679264884535748,-2.668097737786671,1.5384815797633462,3.485607944759312,0.3227826237939802,2,9.07148033466863,1.297645765430051,32.642265773251594,1.3809651293158407
7489,-1.024522728850588,1.3937685294369977,-4.429919154345308,1.3250125655612164,1.9388313773985169,0.19316126670574646,2,5.282947290196446,0.23550293479065773,6.950623566833732,1.2130784069042262
7490,-1.7757320974369881,1.5879285529740002,-5.108403495022616,1.2091439098822152,1.7645532421618415,0.23652117543548432,2,2.896618680574134,0.12018792173754445,5.838963172728252,1.2668343811058187
7491,-1.7489271014595194,1.5291960670947837,-4.579553095364072,1.4534554868812912,1.4198395029316617,0.23752700404728674,2,2.96365145998424,0.20310584521253225,4.136456497831201,1.2681092404102519
7492,-0.8566965860048871,2.5019276397252046,-0.9291140918083496,2.1182850048517685,1.9525925980493612,0.3574311192997422,2,5.960599704956623,5.662089612636977,7.046933784616531,1.4296520876195362
