,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,5.6625,3.331455200058977,0.7254901360459699,0.0,10.0,5.671852933855469,1.4376507727083836
hyper_alpha_sd,2.8416403147077545,1.2992785287731368,0.2198328436634882,0.8529126272200069,4.965762845993157,43.22071846539727,0.9968641555502592
hyper_alpha_mu,1.7834757265694443,1.6640795826024064,0.2997547590992779,0.11447478858887097,6.300319505141005,21.39204348023714,1.0577866970942753
hyper_mu_sd,2.657779344851674,1.2709675283668225,0.20247417443533183,0.5465252624476642,4.857928758084437,42.6452051032798,1.0291782967757812
hyper_mu_mu,4.332194386150265,4.593826947793105,0.7953922699166788,0.35442992457311034,15.023086188630835,23.119904437364543,1.1559229599013776
alpha,0.3357186478357003,1.284146880425172,0.17188042978365117,0.005275005984687173,2.1801126491497427,54.63892248316416,0.99478033803246
mu,3.3107893580799344,5.353458765916314,0.9372521009953385,0.032960179513961754,15.92893265078846,16.547973078748946,1.173162651531052
