,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,3.29175,1.801702510821362,0.10872790292744546,0.0,7.0,202.1294569147636,1.0032949436469973
hyper_alpha_sd,10.261887680424751,5.738630001045026,0.21965835920932292,0.5845031157203571,19.371392992706888,640.6702807549198,1.0075308188707386
hyper_alpha_mu,10.594850883419513,5.467677124556524,0.218826256943133,1.6220911589966729,19.8673549193038,361.67557880671956,1.0085939151100476
hyper_mu_sd,9.617542948848095,5.573996436733218,0.15194212595040185,0.1368866083511988,18.66771683537152,1235.2405857058448,1.001253800165176
hyper_mu_mu,8.825858987935856,4.627880882452782,0.11542199200726941,1.332895556839587,17.791200929983614,1513.0254280951915,1.0001603062221005
alpha,11.130071702788038,13.32802985100333,0.3747521751682402,3.729548869885691e-148,34.93087501142857,1006.9310948376,1.0028877681443917
mu,3.2328212595864403,0.2516056597700327,0.004275705369739794,2.7362882311728063,3.721355812342065,3733.541644439255,0.9997304042124816
