,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,0.00175,0.04179638142231933,0.0015105876340020799,0.0,0.0,,1.0018655584240823
hyper_alpha_sd,10.341292685273332,5.476731137667986,0.17348279415632337,1.6858668241241224,19.659531457890576,944.8785919838687,1.0019378989462089
hyper_alpha_mu,10.264295802429588,5.343262096945956,0.23712724647684208,1.228318448901249,19.346419311643615,315.4092666320075,1.0083004568542586
hyper_mu_sd,13.042631570536727,4.812373854896826,0.12201593564347994,4.180863517889726,19.99920761409015,1736.666050706492,1.0001250273816784
hyper_mu_mu,3.2008386777655287,2.478074581914915,0.11817537552865631,0.058726189059741765,7.982857451067398,133.8695742599079,1.0153586390767586
alpha,10.343757429923746,12.852759001937214,0.352392876704131,2.998396514255076e-237,32.425807036801416,1061.3135833477431,1.000859764801848
mu,0.001903141910122366,0.006372906558539187,0.0001975378841371865,1.3629102617711974e-296,0.012336599284133463,938.7897420221657,1.002730437668219
