,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,3.534,1.968843315248829,0.1311980944983577,0.0,7.0,158.42001537315613,1.0051982181901018
hyper_alpha_sd,9.740762071861662,5.7424623168085445,0.19181700594057913,0.46567328070469305,19.225420976258956,852.4133375154279,1.0012669917274257
hyper_alpha_mu,10.98529357999498,5.427616750601515,0.2179432069042874,2.1751140392613713,19.997650213828887,529.9952323971252,0.9999052986255561
hyper_mu_sd,9.671515243950605,5.797983583531587,0.1827748408699142,0.29929097681473155,18.94119979770894,1048.7142626330378,1.0001174138753157
hyper_mu_mu,9.117830017903984,4.87322437832113,0.14459745752093667,1.6705929527369352,18.50038280851704,1100.3408548142236,0.9996981695794919
alpha,10.907607538190613,11.691846537958224,0.35728580844561975,8.575763906240175e-34,30.842233477611487,962.1956271031169,0.9999352402742324
mu,3.420108851165336,0.2529531927812308,0.004717493793491666,2.921488088746773,3.900430945683412,3365.7151053988264,1.0004959204054455
