,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,6.81375,2.8559693516387745,0.21356508814644776,2.0,12.0,123.98879536184013,1.0060824652593918
hyper_alpha_sd,9.738361072302569,5.728158062061696,0.18693272742871786,0.5459986741450582,19.07030780265663,895.8302844628292,0.9997771091418555
hyper_alpha_mu,10.473950090261821,5.421067299425139,0.21880234286118694,1.9409197433264,19.99056950497408,366.5722116415314,1.006195719313959
hyper_mu_sd,8.496481198697445,5.682758361251792,0.1887329523516494,0.1426135736174448,18.610068358490782,900.1702762284237,1.0009064643163936
hyper_mu_mu,10.432052977143922,4.4656981272119305,0.12429046159514065,4.08719548447505,19.8581679755545,1060.0703041106372,1.0006519931150966
alpha,11.176107064228068,14.543095489916132,0.43763833339125063,6.47732284351958e-64,32.57183962067291,1029.3483993343548,0.9998672599034271
mu,6.743709138246899,0.35550366065254074,0.006219281672139976,6.041107381419983,7.447834002794014,3823.3195576021603,0.9998059527077292
