,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,0.05575,0.23799566697736324,0.010833137818748546,0.0,1.0,484.2042103645866,1.0021974102035118
hyper_alpha_sd,10.20332865808104,5.647466814438729,0.23966768111986939,0.8986561100925261,19.13302210451286,251.85733221845868,1.0128860668779223
hyper_alpha_mu,9.988414632794248,6.1377298409269585,0.38044143464974234,0.9582982168686592,19.99696152598994,69.90892821289623,1.037642970543656
hyper_mu_sd,12.529375051776517,4.9075543045807555,0.12265185094140725,3.7899885372978215,19.977106784505498,1591.5946977819985,1.0019477119843025
hyper_mu_mu,5.989562171980173,3.4437789312033056,0.08528928184539947,0.27306529418394215,12.828763159605181,1599.4695269916483,1.0028751141472716
alpha,10.156494699446482,13.593523840259339,0.47134166320140247,1.1069348175606078e-305,32.111804373757195,321.24445073992746,1.0087144580923133
mu,0.06224038462650377,0.03398492241731462,0.0006013368208387457,0.00929375228158823,0.1287106843315664,3030.363256207526,1.0011429667969158
