,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,4.77775,2.1815945859622956,0.14188194696648337,0.0,8.0,194.6677185803453,1.003353300347392
hyper_alpha_sd,9.364507392355693,5.795155306189258,0.2937549586708219,0.5692312530375683,18.942412720065406,97.99574491151331,1.009256750035758
hyper_alpha_mu,10.422064151793865,5.410066078986645,0.24522419147470914,1.177690423968957,19.482044290318,234.0328233601012,1.0130983491552767
hyper_mu_sd,9.20413568369089,5.569342108933087,0.17830903517959767,0.12200114370384076,18.385112034001043,675.5126941427467,1.0048925705594662
hyper_mu_mu,9.445024593934919,4.442636595907518,0.12006320230184864,2.711291816035417,18.66685733103082,1225.3705513741866,1.0020934036211626
alpha,10.266660967970761,11.896959999713273,0.35501887300300816,2.463780339284526e-193,30.485392913669745,1072.5889260287815,1.0020837681885624
mu,4.8450206611253455,0.2962150445821055,0.006455643626251351,4.310277605596279,5.47769177041484,2146.355118127221,1.0007349796873795
