,Start Date,Start Time Zone,End Date,End Time Zone,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),GHG Savings (kg),Gasoline Savings (gallons),Port Type,Port Number,Plug Type,EVSE ID,Fee,Ended By,Plug In Event Id,Start SOC,End SOC
216,2019-01-22 19:05:27,,2019-01-22 20:41:50,,0 days 01:36:23.000000000,0 days 01:35:55.000000000,51.923,,,DC Fast,1B,,158787,,Customer,175,,
217,2019-02-01 09:12:54,,2019-02-01 10:21:14,,0 days 01:08:20.000000000,0 days 01:08:03.000000000,38.852,,,DC Fast,1B,,158787,,Plug Out at Station,1549037566,,
218,2019-02-01 11:39:46,,2019-02-01 11:41:46,,0 days 00:02:00.000000000,0 days 00:00:00.000000000,0.0,,,,0,,158787,,Timeout,1549046380,,
219,2019-02-14 11:26:38,,2019-02-14 11:28:42,,0 days 00:02:04.000000000,0 days 00:00:00.000000000,0.0,,,,0,,158787,,Timeout,176,,
220,2019-02-28 13:07:20,,2019-02-28 13:09:23,,0 days 00:02:03.000000000,0 days 00:00:00.000000000,0.0,,,,0,,158787,,Timeout,177,,
221,2019-03-01 18:14:06,,2019-03-01 19:21:23,,0 days 01:07:17.000000000,0 days 01:07:08.000000000,17.035,,,DC Fast,1B,,158787,,Plug Out at Station,178,,
222,2019-03-03 13:16:34,,2019-03-03 14:14:16,,0 days 00:57:42.000000000,0 days 00:57:16.000000000,17.752,,,DC Fast,1B,,158787,,Plug Out at Station,179,,
223,2019-03-04 17:03:19,,2019-03-04 17:59:39,,0 days 00:56:20.000000000,0 days 00:56:11.000000000,31.404,,,DC Fast,1B,,158787,,Plug Out at Station,180,,
224,2019-03-14 13:46:09,,2019-03-14 14:40:52,,0 days 00:54:43.000000000,0 days 00:54:12.000000000,11.712,,,DC Fast,1A,,158787,,Plug Out at Station,181,,
225,2019-03-20 15:40:30,,2019-03-20 16:26:00,,0 days 00:45:30.000000000,0 days 00:45:23.000000000,24.655,,,DC Fast,1B,,158787,,Plug Out at Station,1553118019,,
226,2019-03-22 14:09:15,,2019-03-22 14:45:13,,0 days 00:35:58.000000000,0 days 00:35:20.000000000,23.968000000000004,,,DC Fast,1B,,158787,,Plug Out at Station,1553285348,,
227,2019-03-24 14:34:56,,2019-03-24 15:40:49,,0 days 01:05:53.000000000,0 days 01:05:44.000000000,31.397,,,DC Fast,1A,,158787,,Plug Out at Station,182,,
228,2019-03-27 17:06:52,,2019-03-27 17:08:52,,0 days 00:02:00.000000000,0 days 00:00:00.000000000,0.0,,,,0,,158787,,Timeout,1553728005,,
229,2019-03-27 17:16:09,,2019-03-27 17:18:09,,0 days 00:02:00.000000000,0 days 00:00:00.000000000,0.0,,,,0,,158787,,Timeout,1553728563,,
230,2019-03-27 17:42:34,,2019-03-27 17:44:34,,0 days 00:02:00.000000000,0 days 00:00:00.000000000,0.0,,,,0,,158787,,Timeout,1553730143,,
231,2019-03-28 16:05:05,,2019-03-28 16:07:08,,0 days 00:02:03.000000000,0 days 00:00:00.000000000,0.0,,,,0,,158787,,Timeout,183,,
232,2019-03-28 18:22:09,,2019-03-28 19:44:45,,0 days 01:22:36.000000000,0 days 01:22:28.000000000,24.491999999999997,,,DC Fast,1A,,158787,,Plug Out at Station,184,,
233,2019-04-03 16:32:31,,2019-04-03 17:28:47,,0 days 00:56:16.000000000,0 days 00:56:08.000000000,35.204,,,DC Fast,1B,,158787,,Plug Out at Station,185,,
