,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,9.250345,3.812434573992714,0.012061847277676828,2.0,16.0,79590.79532690892,1.0000500573366684
hyper_alpha_sd,6.49036817330383,2.138819023058562,0.007010979571136814,2.8108039571410384,9.999782309693089,122683.4476621561,1.0000031437790955
hyper_alpha_mu,7.085449037649668,2.2749311064907336,0.007215160762401559,2.5926146215598185,9.999998442762754,168613.91661133332,1.0000252944096528
hyper_mu_sd,3.571743741260232,2.708008299695026,0.00956490000237856,0.02145590384140096,8.83565866676402,93055.7727976135,1.000049857746743
hyper_mu_mu,7.826844552639392,1.92184173267664,0.005314209871874582,3.7298377779644625,9.99998519329042,225762.52861050278,1.0000345630247993
alpha,17.783033219930324,5.1142934965663756,0.018831658111115153,9.484016978757563,27.640183954075724,100466.59649956484,1.0000049362076648
mu,9.245952150327232,0.23352349295594188,0.0005028898908746569,8.795354825673131,9.7107795558291,193554.69914955535,1.000003799524006
