,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,0.789975,0.9374243966182019,0.011906064368631643,0.0,3.0,5456.47334464936,1.0001015389004129
hyper_alpha_sd,4.953040263206654,2.7943713680411717,0.044764068193635626,0.3563924200484389,9.50490420400421,3973.7631683365316,1.0002867632383117
hyper_alpha_mu,14.179479689526671,6.3331024253282875,0.07446622480633212,3.889783880589917,24.995872638347766,7322.255658782979,1.0000036257218783
hyper_mu_sd,5.430341592873642,2.885535649600509,0.038141417771204895,0.523362794284432,9.998590639987054,6317.009292187789,1.0000417809866147
hyper_mu_mu,4.245471201025708,2.6727570760780934,0.030431871851881825,0.33308601880967764,9.447381756760368,9010.814782000587,0.9999576290816471
alpha,14.51622205116681,8.212843992378488,0.08146710159043719,0.9936858185368282,28.098947951851482,11355.274618982952,1.0000500989712255
mu,0.8008592371297648,0.13052541288439812,0.0013154643872271843,0.5550809266514096,1.058491511976768,9641.641135537659,1.0000651864711552
