,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,0.024475,0.15532538226252657,0.002024010560743199,0.0,0.0,5885.167288151365,1.0004934400395196
hyper_alpha_sd,9.746269091968824,5.824974213370125,0.2696932065584463,0.7224627725771788,19.267822274961578,128.13706381126428,1.0093272184991409
hyper_alpha_mu,10.00927339407235,5.446606833029791,0.13832839005113778,0.5339852206571184,19.099137958105697,1237.8640109399305,1.0012238846475563
hyper_mu_sd,13.092097916270404,5.165395341510128,0.1942139178087426,3.5711391377695207,19.997927126180628,163.3711873906922,1.0109040271172987
hyper_mu_mu,5.685657454614973,3.234976023549133,0.08176589256622871,0.44001720909046477,11.87070770703964,1124.6942448032678,1.0011303541475098
alpha,10.088460511115915,12.54654780903828,0.1761581744128403,5e-324,30.83242159774395,5263.839799151647,1.000079210380261
mu,0.025374861584607878,0.010975440869937162,0.0002349880319932963,0.0063314401892882845,0.04811619600725848,1795.9459786288587,1.0009457558475585
