,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,4.87135,2.6349761246546426,0.02885089729973749,1.0,10.0,7119.845374095294,1.0001337762896139
hyper_alpha_sd,8.701203944008583,5.542600641708689,0.08889877590356013,0.3955416981220382,18.450348255092255,3842.5851559225594,1.0003190334574634
hyper_alpha_mu,13.274687617259671,4.431694427035885,0.0673567926905746,5.20386580242411,19.999926179021237,5499.074534556631,1.0001642798515813
hyper_mu_sd,9.057655822360257,5.754152405205857,0.10682464631485453,0.11899760391982193,18.66314743700864,3079.2374869651558,1.0000737954671732
hyper_mu_mu,9.554603857612804,4.6451923187786335,0.06446500661313326,2.9181784154985,19.313231941612173,6147.636276485426,1.0002172152614421
alpha,16.78677033137882,12.234830426939833,0.33193429167978855,3.309370428194662,36.31299093484396,1386.3310746815516,1.0004437979069656
mu,4.860570624280157,0.3571366437809246,0.003804678341651148,4.180226880855632,5.576847273739555,9646.885344686347,0.9999615780060462
