,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred__0,10.115,0.31902194281898494,0.0315079355083763,10.0,11.0,,1.109195018403065
y_pred__1,10.15,0.5267826876426355,0.051720402163943004,10.0,12.0,,1.1892374507581376
y_pred__2,10.11,0.5726255320888172,0.0563826214360418,10.0,12.0,,1.202829177213726
y_pred__3,10.0,0.0,0.0,10.0,10.0,,
y_pred__4,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__5,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__6,9.995,0.4847421995246548,0.04821566135603659,10.0,11.0,,1.1530544264835845
y_pred__7,10.005,0.4847421995246548,0.04821566135603659,9.0,10.0,,1.1530544264835845
y_pred__8,10.11,0.5726255320888172,0.0563826214360418,10.0,12.0,,1.202829177213726
y_pred__9,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__10,9.965,0.33730549951045913,0.03335790760824185,9.0,10.0,,1.1892374507581385
y_pred__11,10.075,0.26339134382131774,0.025860201081971502,10.0,11.0,,1.1892374507581387
y_pred__12,10.15,0.5267826876426355,0.051720402163943004,10.0,12.0,,1.1892374507581376
y_pred__13,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__14,9.92,0.39191835884530846,0.039191835884530846,10.0,10.0,,1.085620296683619
y_pred__15,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__16,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__17,9.965,0.33730549951045913,0.03335790760824185,9.0,10.0,,1.1892374507581385
y_pred__18,10.115,0.31902194281898494,0.0315079355083763,10.0,11.0,,1.109195018403065
y_pred__19,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__20,10.115,0.31902194281898494,0.0315079355083763,10.0,11.0,,1.109195018403065
y_pred__21,10.08,0.39191835884530846,0.039191835884530846,10.0,10.0,,1.085620296683619
y_pred__22,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__23,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__24,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__25,10.0,0.0,0.0,10.0,10.0,,
y_pred__26,10.045,0.6580083586095244,0.06561059365681735,9.0,10.0,,1.131542682326789
y_pred__27,10.0,0.0,0.0,10.0,10.0,,
y_pred__28,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__29,10.115,0.31902194281898494,0.0315079355083763,10.0,11.0,,1.109195018403065
y_pred__30,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__31,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
y_pred__32,10.075,0.26339134382131774,0.025860201081971502,10.0,11.0,,1.1892374507581387
y_pred__33,10.0,0.0,0.0,10.0,10.0,,
y_pred__34,10.15,0.5267826876426355,0.051720402163943004,10.0,12.0,,1.1892374507581376
y_pred__35,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__36,9.995,0.4847421995246548,0.04821566135603659,10.0,11.0,,1.1530544264835845
y_pred__37,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__38,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__39,9.845,0.4593201497866164,0.04565906262725945,9.0,10.0,,1.0770478646414616
y_pred__40,10.19,0.5512712580935095,0.05421254467371921,10.0,12.0,,1.1474967400707097
y_pred__41,9.845,0.4593201497866164,0.04565906262725945,9.0,10.0,,1.0770478646414616
y_pred__42,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__43,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__44,10.075,0.26339134382131774,0.025860201081971502,10.0,11.0,,1.1892374507581387
y_pred__45,10.0,0.0,0.0,10.0,10.0,,
y_pred__46,10.0,0.0,0.0,10.0,10.0,,
y_pred__47,10.11,0.5726255320888172,0.0563826214360418,10.0,12.0,,1.202829177213726
y_pred__48,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__49,9.85,0.5267826876426355,0.051720402163943004,8.0,10.0,,1.1892374507581376
y_pred__50,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__51,10.08,0.39191835884530846,0.039191835884530846,10.0,10.0,,1.085620296683619
y_pred__52,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
y_pred__53,9.885,0.31902194281898494,0.0315079355083763,9.0,10.0,,1.109195018403065
y_pred__54,10.0,0.0,0.0,10.0,10.0,,
y_pred__55,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__56,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__57,9.92,0.39191835884530846,0.039191835884530846,10.0,10.0,,1.085620296683619
y_pred__58,10.075,0.26339134382131774,0.025860201081971502,10.0,11.0,,1.1892374507581387
y_pred__59,9.965,0.33730549951045913,0.03335790760824185,9.0,10.0,,1.1892374507581385
y_pred__60,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__61,10.0,0.0,0.0,10.0,10.0,,
y_pred__62,9.885,0.31902194281898494,0.0315079355083763,9.0,10.0,,1.109195018403065
y_pred__63,9.92,0.39191835884530846,0.039191835884530846,10.0,10.0,,1.085620296683619
y_pred__64,9.89,0.5726255320888172,0.0563826214360418,8.0,10.0,,1.202829177213726
y_pred__65,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
y_pred__66,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__67,9.92,0.39191835884530846,0.039191835884530846,10.0,10.0,,1.085620296683619
y_pred__68,9.81,0.5512712580935095,0.05421254467371921,8.0,10.0,,1.1474967400707097
y_pred__69,9.97,0.8118497397917921,0.08056674251823763,8.0,10.0,,1.169579279427654
y_pred__70,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__71,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__72,10.11,0.5726255320888172,0.0563826214360418,10.0,12.0,,1.202829177213726
y_pred__73,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
y_pred__74,9.965,0.33730549951045913,0.03335790760824185,9.0,10.0,,1.1892374507581385
y_pred__75,9.89,0.5726255320888172,0.0563826214360418,8.0,10.0,,1.202829177213726
y_pred__76,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__77,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__78,9.85,0.5267826876426355,0.051720402163943004,8.0,10.0,,1.1892374507581376
y_pred__79,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__80,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
y_pred__81,9.845,0.4593201497866164,0.04565906262725945,9.0,10.0,,1.0770478646414616
y_pred__82,9.85,0.5267826876426355,0.051720402163943004,8.0,10.0,,1.1892374507581376
y_pred__83,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__84,10.075,0.26339134382131774,0.025860201081971502,10.0,11.0,,1.1892374507581387
y_pred__85,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__86,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__87,10.075,0.26339134382131774,0.025860201081971502,10.0,11.0,,1.1892374507581387
y_pred__88,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__89,9.885,0.31902194281898494,0.0315079355083763,9.0,10.0,,1.109195018403065
y_pred__90,9.81,0.5512712580935095,0.05421254467371921,8.0,10.0,,1.1474967400707097
y_pred__91,10.0,0.0,0.0,10.0,10.0,,
y_pred__92,9.89,0.5726255320888172,0.0563826214360418,8.0,10.0,,1.202829177213726
y_pred__93,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__94,10.155,0.4593201497866164,0.04565906262725945,10.0,11.0,,1.0770478646414616
y_pred__95,10.0,0.0,0.0,10.0,10.0,,
y_pred__96,10.075,0.26339134382131774,0.025860201081971502,10.0,11.0,,1.1892374507581387
y_pred__97,10.0,0.0,0.0,10.0,10.0,,
y_pred__98,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__99,9.92,0.39191835884530846,0.039191835884530846,10.0,10.0,,1.085620296683619
y_pred__100,10.0,0.0,0.0,10.0,10.0,,
y_pred__101,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__102,10.0,0.0,0.0,10.0,10.0,,
y_pred__103,10.04,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__104,10.0,0.0,0.0,10.0,10.0,,
y_pred__105,9.96,0.19595917942265423,0.019595917942265423,10.0,10.0,,1.085620296683619
y_pred__106,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
y_pred__107,10.0,0.0,0.0,10.0,10.0,,
y_pred__108,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
y_pred__109,10.0,0.0,0.0,10.0,10.0,,
y_pred__110,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
y_pred__111,9.965,0.33730549951045913,0.03335790760824185,9.0,10.0,,1.1892374507581385
y_pred__112,10.035,0.33730549951045913,0.03335790760824185,10.0,11.0,,1.1892374507581385
y_pred__113,10.0,0.0,0.0,10.0,10.0,,
y_pred__114,9.925,0.26339134382131774,0.025860201081971502,9.0,10.0,,1.1892374507581387
