,alpha,alpha_log__,hyper_alpha_mu,hyper_alpha_sd,hyper_alpha_sd_interval__,hyper_mu_mu,hyper_mu_sd,hyper_mu_sd_interval__,mu,mu_log__,y_pred
53,8.325011697519063e-33,-73.86604362783059,0.1669905749090278,13.432336624161403,0.7155068621386952,0.4522898785503195,3.8170204139201096,-1.4444899251846324,0.05444365311941933,-2.910588999860589,0
54,2.2932595630583045e-33,-75.15533387331483,1.5292591458319469,15.940723953498466,1.3678724456953713,1.4306576685969377,2.008129141311213,-2.19271652376041,0.013666849783569648,-4.292782102237923,0
55,1.6660816236831395e-32,-73.17224843945756,1.617140124424105,16.912545955537762,1.7007088932873797,2.1229355027432075,4.056064822296984,-1.368865269289167,0.019535039368765588,-3.935545535183272,0
56,3.7447688131445686e-33,-74.66494818587746,2.346252222577726,17.326195589342973,1.8687172210315333,1.65628798488012,4.042744623250164,-1.3729897848563333,0.017818538702962898,-4.027515863502655,0
57,3.239534686915088e-33,-74.80987836446258,0.4118124292826827,8.22241252064142,-0.35933469922990674,0.5803154073729082,2.461853623416113,-1.9634637299199973,0.0194502249737588,-3.939896642210345,0
58,4.381026058835265e-55,-125.1648971577107,1.1749555314020783,13.039423076340492,0.6277149506664277,1.0361351563829002,5.315149344308865,-1.0162552846985113,0.02299667817680135,-3.772405500579178,0
59,1.8803035242691075e-59,-135.22108727375903,0.48928114048790267,6.2279090980318275,-0.7936034877724473,1.3422797642400308,2.1817774767303564,-2.100081770021798,0.04892079809211525,-3.0175526540665754,0
60,4.916274773239938e-71,-161.89099051877395,0.7118713094038693,9.596824430808246,-0.08067884743735074,0.7496039201565372,3.627877650343892,-1.5069322237418286,0.01110342342448896,-4.500501801593851,0
61,4.224618490099543e-98,-224.21241015488576,0.48331174953352996,10.583618771404733,0.11685655037598444,1.2030757053719106,3.6961323132743034,-1.4841154088754085,0.0180040888119504,-4.017156390662573,0
62,1.6192601453948155e-98,-225.17136976886513,0.8331533939359748,9.504556763480599,-0.0991698425731712,0.8642025961957227,2.3194477927866815,-2.0311361531651,0.0031682670946301355,-5.754570498410207,0
63,2.4888417781385044e-98,-224.74152166049734,0.43298251556454087,6.12241117369839,-0.8183192227401062,0.8786403809180566,13.36345462510186,0.6999321611720436,0.030550248740568692,-3.488382451316871,0
64,8.247254266767553e-96,-218.93828859862677,1.0294951413010194,10.865145110603773,0.1734626648239479,1.254200671887614,2.410171377133256,-1.9876229600111825,0.0022105665385455894,-6.114506444022036,0
65,1.8822720484080143e-95,-218.1131042508975,0.5896545525140656,18.06663279445132,2.234803596087691,1.0731326145302285,3.924500652372054,-1.4100572124419315,0.02805906728779525,-3.5734434447820465,0
66,4.1914979599908776e-94,-215.0099405630461,1.1168806285552344,12.483407851903895,0.5072875272695592,1.060967736742997,2.548286731756318,-1.924016561925061,0.015670943786024752,-4.1559469955813855,0
67,1.6167935412396206e-93,-213.659968756127,0.6044872125212118,15.320001552841942,1.1858614875472135,0.43300937857906174,1.3113874800840115,-2.6568286604002935,0.029293535203592923,-3.5303884288196357,0
