,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,14,8,1,0,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,5
1,4,3,3,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,3,0,6,7,3,4
2,6,3,0,1,1,6,0,0,1,4,1,0,0,0,0,8,0,0,0,0,3,6,5,5
3,7,12,7,3,7,7,4,0,1,9,6,3,0,1,0,3,2,0,1,0,3,7,2,14
4,3,2,6,4,0,6,4,3,2,5,3,8,0,4,3,9,9,4,3,0,2,1,8,5
5,8,14,3,2,5,5,12,11,6,10,14,4,0,7,8,7,4,6,10,3,3,3,5,8
6,8,4,6,8,5,6,2,13,3,16,12,13,1,4,7,5,10,19,17,4,11,4,1,13
7,4,6,5,3,2,7,7,17,11,1,13,11,1,9,13,3,9,20,10,1,16,13,2,9
8,5,4,8,15,5,10,8,18,6,3,14,10,4,10,17,5,18,13,9,11,4,11,8,4
9,12,11,13,16,8,5,9,8,5,7,16,5,7,7,22,9,18,12,7,23,9,27,15,5
10,2,10,17,16,10,5,16,7,12,14,1,11,9,7,7,8,7,5,0,28,6,1,14,1
11,3,3,7,8,9,8,12,3,15,9,0,5,19,19,3,10,3,1,4,9,1,0,1,1
12,1,0,1,3,6,3,6,0,10,0,0,2,12,11,0,7,0,0,7,1,7,0,7,4
13,2,0,2,0,1,2,0,0,4,0,0,6,18,1,0,5,0,0,4,0,7,0,2,2
14,1,0,1,0,3,5,0,0,2,0,0,2,8,0,0,0,0,0,5,0,2,0,0,0
