,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,7.1625,1.5767351553130284,0.3158693361185919,4.0,10.0,14.729924814897643,1.0475905557492813
hyper_alpha_sd,2.520551581144328,1.2789577648294455,0.23055103042029593,0.33380014578319805,4.4815022518038266,16.050302613734758,1.054420977798145
hyper_alpha_mu,12.449731401177383,4.436730529674556,0.6581034201021989,4.027541424737894,19.814542329275053,35.970755450809435,1.0100812132179402
hyper_mu_sd,2.523340364347758,1.3458252228471228,0.15547649751204512,0.4928472615097549,4.811681485165846,50.93400323361481,0.9818055970908869
hyper_mu_mu,4.0978894652336,2.067873776172999,0.2436351913605299,0.7709114733353399,7.937906824505879,50.02138608726254,1.0023717296269556
alpha,13.123639160994054,5.122917142210136,0.6218009584476809,3.9061822629406464,21.668095066194784,54.03802600675944,1.0223766762321989
mu,3.016026276193581,0.2586781579865415,0.038374308084239486,2.533433556079628,3.501219145194276,58.66468969602578,0.9832112815739299
