,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,7.9625,2.878557581498067,0.6290555917405074,3.0,13.0,3.3648643475450513,1.9150648316985355
hyper_alpha_sd,2.3782008045335123,1.1824334289430736,0.22029017838532533,0.6441523135457186,4.506956938951777,11.659509920716895,1.189240432812192
hyper_alpha_mu,14.054135992071958,3.800823806174561,0.6091607289879762,6.368377565700033,19.903566385609576,18.062904105972123,1.0834932453798152
hyper_mu_sd,2.02817008501191,1.2704000123671773,0.2322953060265773,0.1957492145271332,4.172841305422791,9.08510821098545,1.2045855594000796
hyper_mu_mu,5.30287583027088,2.1111976763337537,0.2562956064931589,1.6760915963795098,9.958268972001425,48.75364184438745,0.989782261713425
alpha,15.412310550262537,4.835111248372077,0.6792824765475454,5.16001296588597,24.527223722012184,16.91884673188714,1.1299624495073788
mu,4.494717216627275,0.33520575862804813,0.04412329920901195,3.984092073338216,5.290120438787205,53.17596072367442,0.9903570421649519
