,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,6.1459,2.7462452894816223,0.032753540266664306,1.0,11.0,6839.868968657933,1.0000355451969911
hyper_alpha_sd,11.375916226286693,5.229178744069277,0.05168066463103012,2.440913399682199,19.999979902791193,9557.378691794802,1.0002723481318705
hyper_alpha_mu,14.343390498885594,4.49491025966353,0.03774854230910224,5.245900830144851,19.998789434212696,17547.15882939387,1.0002940753645373
hyper_mu_sd,8.838193995031542,5.621144529042891,0.054036547260393565,0.2791549900043378,18.53996936773541,8969.54048282497,1.0004746424596684
hyper_mu_mu,10.116771409846196,4.470263090149321,0.0380675452067367,3.4292223866404874,19.498823968313385,12863.387444973818,1.0001523131097052
alpha,31.421648534411396,18.530544066775747,0.18534736833137863,11.046054204801033,64.59022139670493,11450.169652868732,1.0001992037236518
mu,6.115951820683871,0.19001949961093015,0.0015484473520860401,5.74942121030895,6.491115489706812,16052.71580774377,1.0000544899917365
