,alpha,alpha_interval__,mu,mu_interval__,y_pred
0,9.652714694214392,3.3248478212389876,9.334989279357451,2.6417217457470716,2
1,9.649158499284422,3.314291431817168,9.216688935211113,2.4652412442594587,2
2,9.478186108840243,2.8994372442462515,9.046765179686867,2.250301259618447,2
3,9.138352136383837,2.361388680455385,9.534609033180129,3.019805672674354,7
4,9.564676358257792,3.089742286799866,9.354298346702492,2.6732536727681855,7
5,9.524260034391148,2.996726096076478,9.193056749540004,2.4329504327835467,5
6,9.297190791416632,2.5823821091359562,9.037069780363062,2.2391093137648737,8
7,9.644074785141715,3.2993783556868,9.16374903198212,2.3940818878904992,8
8,9.644074785141715,3.2993783556868,9.16374903198212,2.3940818878904992,8
9,9.693972059977098,3.455583129155118,9.170998600064522,2.403579614073156,2
10,9.359840418072032,2.6824660279405883,9.086450755587556,2.2972023732249034,2
11,9.2991681053739,2.58541217378059,9.208544080409743,2.454012850922441,2
12,9.410391490642676,2.770111062200285,9.24437400949561,2.5042238980695077,4
13,9.663908427070762,3.3587697831428613,9.056118274484767,2.261194993174533,7
14,9.902936768188756,4.6252239949158325,9.199633638813346,2.441849366052639,7
15,9.796747754983958,3.8753579538877383,9.289319339472785,2.5703973734396173,7
16,9.69180394509012,3.4482997308202203,9.315203142633052,2.610280855225753,9
17,9.62552370875484,3.2466450757782814,9.084899764316493,2.2953353412019504,10
18,9.740023893588633,3.623409121399297,9.289072416399772,2.570023406148224,10
19,9.826945075227131,4.039274360830318,9.25158138931782,2.5145873155177556,9
20,9.51284140569083,2.9718081660091356,9.007274737749706,2.2053338827181355,16
21,9.722564076824856,3.5566146575327227,8.870346529934602,2.0608029411603432,4
22,9.811457742647434,3.9519839804385337,9.217241571843873,2.4660069655139036,3
23,9.842775948041924,4.136821188232723,9.493129536896294,2.930068135196626,3
24,8.8958669352736,2.086526309345622,9.498299623716523,2.9408649930845225,3
25,8.42969501971031,1.6804907379322682,9.564785622462518,3.0900047372996124,3
26,9.794548554992987,3.864371511304226,9.22893661350987,2.4823285275253557,3
27,9.582742543798862,3.134015675806295,9.10934400107392,2.325097710334534,10
28,9.582742543798862,3.134015675806295,9.10934400107392,2.325097710334534,11
29,9.120540226739479,2.338976491762106,9.50993204753954,2.96554795016434,12
30,9.959105572029166,5.495248726205192,9.010967219476846,2.2094702182014183,14
31,9.530228815793874,3.009978272368454,9.51579141236588,2.978192171443318,12
32,9.993307553172965,7.308691352025779,8.936053958137606,2.128109422938041,8
33,9.994484334114516,7.50219626700702,9.471755134526784,2.886509568714148,8
34,9.987711082975396,6.700412923293088,9.320308168208038,2.618311465483409,8
35,9.966236076771736,5.687565394433868,8.978666409601303,2.173742149653925,8
36,9.90472562605683,4.64400638251153,9.35854464082402,2.680305476846703,8
37,9.91491775723735,4.758177395520037,9.308134126522658,2.59925182175299,10
38,9.827046880264213,4.03987317531938,9.177855990282142,2.4126333300646996,12
39,9.918133777479737,4.797033572961518,9.007095159329886,2.205133067457256,12
40,9.938308220819037,5.082001402576181,9.50473540679508,2.9544532657853404,12
41,9.246509108423117,2.5072844357508526,9.022207394348872,2.2221467174431355,12
42,8.275594750499362,1.5684285837186493,9.45060718549017,2.845020576076224,12
43,9.429449884058513,2.804992026043889,9.136477400099043,2.3590101156744048,11
44,9.79369230341353,3.8601250878032034,9.215466020205554,2.4635485555552448,13
45,9.592474863529048,3.158631586318277,9.385467625995137,2.726056163627897,14
46,9.702589414969315,3.485034453572085,9.622764787891718,3.2390180046602035,8
47,9.85788966853601,4.239423657081166,9.543206203670957,3.039352710495622,8
