,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,3.1570825,1.992199183865346,0.007984247033221105,0.0,7.0,75254.76916496121,1.0000390428637658
hyper_alpha_sd,5.274555966590604,2.746246679091203,0.05747772081560666,0.6510802987038025,9.998218833673707,1320.6290085752582,1.0017087063516925
hyper_alpha_mu,7.323772523977703,2.187999737582163,0.02919434996656047,2.884805024965178,9.999982110152018,3795.3410674401534,1.0007099055399702
hyper_mu_sd,4.310112353265097,2.8174697557165347,0.033446450971103645,0.056295680252395335,9.229756037349834,6304.56168605165,1.0004632446362467
hyper_mu_mu,5.0550724523689645,2.242206460910397,0.03532635019842159,1.7561058465566983,9.747024122916125,2704.1560918297396,1.0008914773608761
alpha,14.094380359711321,7.520549609150984,0.05372721825021339,5.652870005307376,27.577424552558814,51180.490226032416,1.0001064068129757
mu,3.1548264734593157,0.12488111947306497,0.002059048059954916,2.918483425463806,3.4018259963375352,2205.4693805166635,1.001332136641613
