,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,33947,38275,39065,39946,37424,14305,1345,8,1,372,870,529,47,60,190,334,1611,1992,1991,3581,10422,18251,11551,16647
1,5590,1629,934,54,2485,14310,4401,141,44,1678,3510,2341,295,457,1200,1533,5344,6130,5746,8281,13971,14364,14499,14383
2,440,96,1,0,91,7630,7884,502,185,3801,6722,4965,1114,1434,3009,3752,8198,8929,8634,10530,9288,5438,8675,6502
3,23,0,0,0,0,2750,8451,1364,452,6387,8157,7204,2422,3047,5305,5866,8939,8944,8960,8347,4377,1503,3789,1879
4,0,0,0,0,0,801,7443,2684,1155,7230,7769,7615,4209,4844,6738,7056,6961,6693,6672,5239,1402,346,1128,483
5,0,0,0,0,0,172,5162,3907,2210,6824,5673,6651,5456,6130,6952,6889,4524,3987,4263,2442,411,71,272,88
6,0,0,0,0,0,25,2849,5065,3469,5577,3667,4651,5778,6303,6119,5547,2604,1910,2302,1080,98,24,71,15
7,0,0,0,0,0,7,1480,5441,4269,3723,2001,3033,5952,5697,4409,4066,1178,906,937,361,27,1,11,3
8,0,0,0,0,0,0,625,5443,5092,2209,950,1572,5064,4547,2925,2561,435,317,311,97,4,2,4,0
9,0,0,0,0,0,0,207,4819,5233,1177,434,866,3856,3132,1631,1270,148,121,127,22,0,0,0,0
10,0,0,0,0,0,0,114,3898,4925,617,181,368,2574,2094,846,645,47,43,37,13,0,0,0,0
11,0,0,0,0,0,0,33,2746,4089,246,55,136,1543,1149,375,310,11,20,13,6,0,0,0,0
12,0,0,0,0,0,0,5,1769,3114,109,8,48,886,586,184,110,0,1,2,1,0,0,0,0
13,0,0,0,0,0,0,1,1067,2300,37,2,15,417,270,78,48,0,5,5,0,0,0,0,0
14,0,0,0,0,0,0,0,877,2363,13,1,6,324,222,37,12,0,2,0,0,0,0,0,0
