,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,1.35375,1.1728644156508459,0.01488188916099028,0.0,3.0,6650.3400714625695,1.0005557304963657
hyper_mu_sd,10.844179651483524,5.703133866533146,0.06250272045704217,1.1508197095436543,19.99751531350302,10070.814918128728,1.0000773251382267
hyper_mu_mu,7.935678260483498,4.618067155032163,0.045721043519775226,0.74967241195334,16.931085288334952,12117.384335779374,0.9999803183250145
mu,1.3414871816682215,0.16036159053907323,0.0012135232031830893,1.0339374515949453,1.657738419524657,16618.76283259472,0.9999967055948131
