,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,3.20735,1.7951618248781918,0.01893666483306921,0.0,6.0,7513.8267179069335,1.0009274461286606
hyper_mu_sd,9.77248666929808,5.777093370066025,0.06761696217315907,0.2095016370218236,18.9304782943473,6985.024073150027,1.0006220929760068
hyper_mu_mu,8.821994492037824,4.717438863338729,0.046777112859379896,1.455882405432679,17.990928248144414,10177.297639194774,1.0000875283497737
mu,3.2262854663297276,0.2517130003993687,0.00211171126436513,2.727129238232417,3.70915615392051,14394.816791742322,1.0002694519284026
