,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred,3.062525,1.764005562455799,0.020280855966896463,0.0,6.0,7465.200692082855,1.0002108481126275
hyper_mu_sd,9.901418406415978,5.732134862619297,0.06373793587450714,0.2417289786361796,18.918227543289095,8180.795305614954,1.0002137975002807
hyper_mu_mu,8.842386128831857,4.7569268943827785,0.04543491891641295,1.3610847965322372,18.048840496056656,11297.80647584056,1.0001788101827378
mu,3.0922104296867876,0.24461871994030324,0.002258863988692882,2.624202795414649,3.577207427862375,15096.735240408445,0.9999945677181585
