Idx,Hour,DayCnt,DayYr,Connected
317,5,13,55,2
318,6,13,55,3
319,7,13,55,10
320,8,13,55,6
321,9,13,55,5
322,10,13,55,5
323,11,13,55,5
324,12,13,55,8
325,13,13,55,4
326,14,13,55,5
327,15,13,55,3
328,16,13,55,6
329,17,13,55,3
330,18,13,55,4
331,19,13,55,1
332,20,13,55,0
333,21,13,55,0
334,22,13,55,0
335,23,13,55,0
336,0,14,56,0
337,1,14,56,0
338,2,14,56,0
339,3,14,56,0
340,4,14,56,0
341,5,14,56,1
342,6,14,56,6
343,7,14,56,10
344,8,14,56,7
345,9,14,56,4
346,10,14,56,2
347,11,14,56,6
348,12,14,56,7
349,13,14,56,8
350,14,14,56,4
351,15,14,56,5
352,16,14,56,5
353,17,14,56,3
354,18,14,56,4
355,19,14,56,2
356,20,14,56,3
357,21,14,56,0
358,22,14,56,0
359,23,14,56,0
360,0,15,67,0
361,1,15,67,0
362,2,15,67,0
363,3,15,67,0
364,4,15,67,0
365,5,15,67,1
366,6,15,67,2
367,7,15,67,4
368,8,15,67,8
369,9,15,67,5
370,10,15,67,5
371,11,15,67,8
372,12,15,67,6
373,13,15,67,10
374,14,15,67,4
375,15,15,67,6
376,16,15,67,7
377,17,15,67,4
378,18,15,67,1
379,19,15,67,0
380,20,15,67,0
381,21,15,67,0
382,22,15,67,0
383,23,15,67,0
384,0,16,71,1
385,1,16,71,0
386,2,16,71,0
387,3,16,71,0
388,4,16,71,0
389,5,16,71,1
390,6,16,71,7
391,7,16,71,5
392,8,16,71,10
393,9,16,71,9
394,10,16,71,4
395,11,16,71,1
396,12,16,71,10
397,13,16,71,5
398,14,16,71,5
399,15,16,71,3
400,16,16,71,2
401,17,16,71,4
402,18,16,71,4
403,19,16,71,4
404,20,16,71,0
405,21,16,71,1
406,22,16,71,2
407,23,16,71,0
408,0,17,73,0
409,1,17,73,0
410,2,17,73,0
411,3,17,73,0
412,4,17,73,0
413,5,17,73,1
414,6,17,73,2
415,7,17,73,8
416,8,17,73,4
417,9,17,73,5
418,10,17,73,2
419,11,17,73,4
420,12,17,73,8
421,13,17,73,9
422,14,17,73,3
423,15,17,73,2
424,16,17,73,6
425,17,17,73,6
426,18,17,73,2
427,19,17,73,3
428,20,17,73,0
429,21,17,73,0
430,22,17,73,0
431,23,17,73,1
432,0,18,77,0
433,1,18,77,0
434,2,18,77,0
435,3,18,77,0
436,4,18,77,0
437,5,18,77,1
438,6,18,77,4
439,7,18,77,8
440,8,18,77,15
441,9,18,77,6
442,10,18,77,2
443,11,18,77,4
444,12,18,77,12
445,13,18,77,8
446,14,18,77,5
447,15,18,77,4
448,16,18,77,4
449,17,18,77,7
450,18,18,77,1
451,19,18,77,0
452,20,18,77,1
453,21,18,77,0
454,22,18,77,1
455,23,18,77,0
456,0,19,78,0
457,1,19,78,0
458,2,19,78,0
459,3,19,78,0
460,4,19,78,0
461,5,19,78,1
