,Hour,DayCnt,DayYr,Arrivals,Energy,Duration,Charging
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2,2.0,0.0,1.0,0.0,0.0,0.0,0.0
3,3.0,0.0,1.0,0.0,0.0,0.0,0.0
4,4.0,0.0,1.0,0.0,0.0,0.0,0.0
5,5.0,0.0,1.0,2.0,10.199,1.875,0.875
6,6.0,0.0,1.0,1.0,6.915,2.75,1.25
7,7.0,0.0,1.0,8.0,69.51,2.5,1.375
8,8.0,0.0,1.0,12.0,92.542,3.1875,1.2708333333333333
9,9.0,0.0,1.0,5.0,27.672,1.25,0.85
10,10.0,0.0,1.0,1.0,6.169,1.0,1.0
11,11.0,0.0,1.0,3.0,16.680999999999997,2.0833333333333335,0.9166666666666666
12,12.0,0.0,1.0,7.0,36.160000000000004,2.9285714285714284,0.8571428571428571
13,13.0,0.0,1.0,5.0,57.534,1.95,1.5
14,14.0,0.0,1.0,1.0,17.349,3.5,1.5
15,15.0,0.0,1.0,1.0,6.229,1.0,1.0
16,16.0,0.0,1.0,2.0,13.136,0.375,0.375
17,17.0,0.0,1.0,0.0,0.0,0.0,0.0
18,18.0,0.0,1.0,1.0,2.881,0.25,0.25
19,19.0,0.0,1.0,1.0,6.755,0.75,0.5
20,20.0,0.0,1.0,0.0,0.0,0.0,0.0
21,21.0,0.0,1.0,1.0,15.165,1.25,1.25
22,22.0,0.0,1.0,0.0,0.0,0.0,0.0
23,23.0,0.0,1.0,0.0,0.0,0.0,0.0
24,0.0,1.0,2.0,0.0,0.0,0.0,0.0
25,1.0,1.0,2.0,0.0,0.0,0.0,0.0
26,2.0,1.0,2.0,0.0,0.0,0.0,0.0
27,3.0,1.0,2.0,0.0,0.0,0.0,0.0
28,4.0,1.0,2.0,0.0,0.0,0.0,0.0
29,5.0,1.0,2.0,1.0,10.098,0.25,0.25
30,6.0,1.0,2.0,2.0,19.728,2.375,1.5
31,7.0,1.0,2.0,8.0,86.71799999999999,2.0625,1.65625
32,8.0,1.0,2.0,12.0,99.514,2.6041666666666665,1.4583333333333333
33,9.0,1.0,2.0,1.0,6.195,1.5,1.0
34,10.0,1.0,2.0,4.0,44.48100000000001,4.1875,2.0
35,11.0,1.0,2.0,6.0,35.049,0.8333333333333334,0.625
36,12.0,1.0,2.0,3.0,18.773999999999997,1.0833333333333333,0.5833333333333334
37,13.0,1.0,2.0,6.0,57.366,2.7083333333333335,1.1666666666666667
38,14.0,1.0,2.0,5.0,40.254000000000005,3.05,1.2
39,15.0,1.0,2.0,3.0,19.73,3.5,0.8333333333333334
40,16.0,1.0,2.0,2.0,23.371000000000002,4.5,1.125
41,17.0,1.0,2.0,2.0,15.317,0.5,0.5
42,18.0,1.0,2.0,1.0,3.854,0.5,0.5
43,19.0,1.0,2.0,1.0,5.553,0.5,0.5
44,20.0,1.0,2.0,0.0,0.0,0.0,0.0
45,21.0,1.0,2.0,0.0,0.0,0.0,0.0
46,22.0,1.0,2.0,0.0,0.0,0.0,0.0
47,23.0,1.0,2.0,1.0,1.471,0.25,0.25
48,0.0,2.0,9.0,0.0,0.0,0.0,0.0
49,1.0,2.0,9.0,0.0,0.0,0.0,0.0
50,2.0,2.0,9.0,0.0,0.0,0.0,0.0
51,3.0,2.0,9.0,0.0,0.0,0.0,0.0
52,4.0,2.0,9.0,0.0,0.0,0.0,0.0
53,5.0,2.0,9.0,0.0,0.0,0.0,0.0
54,6.0,2.0,9.0,2.0,24.167,2.375,2.0
55,7.0,2.0,9.0,5.0,36.296,2.45,1.0
56,8.0,2.0,9.0,10.0,83.78899999999999,2.45,1.275
57,9.0,2.0,9.0,5.0,27.809,2.0,0.95
58,10.0,2.0,9.0,4.0,33.941,1.25,1.0625
59,11.0,2.0,9.0,2.0,33.745,6.625,3.5
60,12.0,2.0,9.0,4.0,31.495,3.5,2.25
61,13.0,2.0,9.0,2.0,25.441000000000003,6.5,1.875
62,14.0,2.0,9.0,2.0,20.403,1.125,0.875
63,15.0,2.0,9.0,1.0,2.113,0.25,0.25
64,16.0,2.0,9.0,4.0,28.323,2.5625,1.625
65,17.0,2.0,9.0,1.0,2.071,0.25,0.25
66,18.0,2.0,9.0,1.0,5.347,0.75,0.75
67,19.0,2.0,9.0,3.0,14.847000000000001,0.75,0.75
68,20.0,2.0,9.0,0.0,0.0,0.0,0.0
69,21.0,2.0,9.0,0.0,0.0,0.0,0.0
70,22.0,2.0,9.0,1.0,10.913,1.0,0.75
71,23.0,2.0,9.0,1.0,13.112,2.0,2.0
72,0.0,3.0,28.0,0.0,0.0,0.0,0.0
73,1.0,3.0,28.0,0.0,0.0,0.0,0.0
74,2.0,3.0,28.0,0.0,0.0,0.0,0.0
75,3.0,3.0,28.0,0.0,0.0,0.0,0.0
76,4.0,3.0,28.0,0.0,0.0,0.0,0.0
77,5.0,3.0,28.0,3.0,22.950999999999997,0.25,0.25
78,6.0,3.0,28.0,2.0,22.226999999999997,3.125,1.5
79,7.0,3.0,28.0,6.0,57.703,2.9166666666666665,1.7083333333333333
80,8.0,3.0,28.0,12.0,108.647,2.375,1.3125
81,9.0,3.0,28.0,6.0,57.290000000000006,2.3333333333333335,1.5416666666666667
82,10.0,3.0,28.0,2.0,23.794,1.0,0.625
83,11.0,3.0,28.0,4.0,15.454,0.5,0.5
84,12.0,3.0,28.0,4.0,33.521,1.6875,0.875
85,13.0,3.0,28.0,5.0,38.507000000000005,3.35,1.55
86,14.0,3.0,28.0,2.0,9.008000000000003,1.0,0.625
87,15.0,3.0,28.0,3.0,30.503999999999998,6.333333333333333,1.5
88,16.0,3.0,28.0,1.0,8.248,1.0,1.0
89,17.0,3.0,28.0,2.0,13.754,0.875,0.875
90,18.0,3.0,28.0,3.0,22.534,1.0,0.9166666666666666
91,19.0,3.0,28.0,2.0,10.315,0.5,0.5
92,20.0,3.0,28.0,1.0,13.674,0.5,0.5
