,EVSE ID,Port Number,Station Name,Plug In Event Id,Start Date,End Date,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),Ended By,Port Type,City,Latitude,Longitude,User ID,Driver Postal Code,Duration (h),Charging (h),DayofYr,DayofWk,isWeekday,Year,StartHr,EndHr,AvgPwr,Date,dayCount
553,186285,2,RMP NTO OFFICE / NTO WEST LOT 1,461,2018-01-16 06:23:15,2018-01-16 07:21:53,0 days 00:58:41.000000000,0 days 00:58:24.000000000,5.732,Customer,Level 2,Salt Lake City,40.771259,-111.93231999999999,1350161,84037,0.5,0.5,16,1,1,2018,6.5,7.25,11.464,2018-1-16,11
580,117511,1,FLEET / FLEET,1003,2018-01-16 12:24:40,2018-01-18 08:38:52,1 days 20:14:11.000000000,0 days 02:37:10.000000000,6.18,Plug Out at Vehicle,Level 2,Salt Lake City,40.758659,-111.946701,6579V,,10.0,1.25,16,1,1,2018,12.5,8.75,0.618,2018-1-16,11
581,186285,1,RMP NTO OFFICE / NTO WEST LOT 1,463,2018-01-16 12:46:16,2018-01-16 17:27:17,0 days 04:41:01.000000000,0 days 02:52:11.000000000,7.456,Plug Out at Vehicle,Level 2,Salt Lake City,40.771259,-111.93231999999999,1054141,84123,2.25,1.5,16,1,1,2018,12.75,17.5,3.313777777777778,2018-1-16,11
582,117511,2,FLEET / FLEET,1004,2018-01-16 12:47:08,2018-01-18 08:01:08,1 days 19:13:59.000000000,0 days 05:50:07.000000000,4.209,Plug Out at Vehicle,Level 2,Salt Lake City,40.758659,-111.946701,6577V,,9.5,3.0,16,1,1,2018,12.75,8.0,0.4430526315789473,2018-1-16,11
583,183643,1,RMP NTO OFFICE / NTO WEST LOT 2,438,2018-01-16 12:59:16,2018-01-16 17:48:16,0 days 04:49:04.000000000,0 days 02:58:37.000000000,16.962,Plug Out at Vehicle,Level 2,Salt Lake City,40.771263,-111.932381,447091,84401,2.5,1.5,16,1,1,2018,13.0,17.75,6.7848,2018-1-16,11
584,186415,1,RMP NTO OFFICE / NTO WEST LOT 3,454,2018-01-16 13:12:23,2018-01-16 17:26:53,0 days 04:14:30.000000000,0 days 01:12:58.000000000,3.3560000000000003,Plug Out at Vehicle,Level 2,Salt Lake City,40.771267,-111.932449,1439391,77429,2.0,0.5,16,1,1,2018,13.25,17.5,1.6780000000000002,2018-1-16,11
585,186285,2,RMP NTO OFFICE / NTO WEST LOT 1,464,2018-01-16 13:13:17,2018-01-16 17:44:00,0 days 04:30:43.000000000,0 days 03:43:16.000000000,8.836,Plug Out at Vehicle,Level 2,Salt Lake City,40.771259,-111.93231999999999,829009,84020,2.25,1.75,16,1,1,2018,13.25,17.75,3.9271111111111114,2018-1-16,11
586,182139,2,PUBLIC USE / SUGAR HOUSE,923,2018-01-16 13:18:16,2018-01-16 14:02:28,0 days 00:44:15.000000000,0 days 00:44:03.000000000,4.798,Plug Out at Vehicle,Level 2,Salt Lake City,40.723351,-111.85875700000001,1069021,84105,0.25,0.25,16,1,1,2018,13.25,14.0,19.192,2018-1-16,11
587,204579,1,PACKSIZE / CLEAN AIR 5,37,2018-01-16 13:23:39,2018-01-16 16:03:52,0 days 02:40:11.000000000,0 days 01:58:32.000000000,6.104,Plug Out at Vehicle,Level 2,Salt Lake City,40.742401,-111.98159,1458111,84121,1.25,1.0,16,1,1,2018,13.5,16.0,4.8832,2018-1-16,11
588,121747,2,FLEET / PSB-FIRE,940,2018-01-16 13:44:36,2018-01-17 08:47:38,0 days 19:03:01.000000000,0 days 01:27:11.000000000,6.04,Plug Out at Vehicle,Level 2,Salt Lake City,40.7589,-111.882011,6585V,,9.5,0.75,16,1,1,2018,13.75,8.75,0.6357894736842106,2018-1-16,11
589,144179,2,FLEET / SLC FACILITIES,532,2018-01-16 13:57:54,2018-01-16 15:37:08,0 days 01:39:13.000000000,0 days 01:19:29.000000000,6.066,Plug Out at Vehicle,Level 2,Salt Lake City,40.75592,-111.8834,6569V,,0.75,0.75,16,1,1,2018,14.0,15.5,8.088,2018-1-16,11
590,210241,1,PACKSIZE / CLEAN AIR 14,1516136724,2018-01-16 14:06:25,2018-01-16 17:39:43,0 days 03:33:15.000000000,0 days 03:33:00.000000000,11.86,Plug Out at Vehicle,Level 2,Salt Lake City,40.742313,-111.981071,1114101,84104,1.75,1.75,16,1,1,2018,14.0,17.75,6.777142857142857,2018-1-16,11
591,182139,2,PUBLIC USE / SUGAR HOUSE,1516137556,2018-01-16 14:20:14,2018-01-16 14:53:25,0 days 00:33:14.000000000,0 days 00:33:05.000000000,2.042,Plug Out at Vehicle,Level 2,Salt Lake City,40.723351,-111.85875700000001,659423,84120,0.25,0.25,16,1,1,2018,14.25,15.0,8.168,2018-1-16,11
592,117979,2,FLEET / LIBRARY POOL,29,2018-01-16 15:00:25,2018-01-17 14:44:29,0 days 23:44:04.000000000,0 days 02:02:28.000000000,8.946,Plug Out at Vehicle,Level 2,Salt Lake City,40.758465,-111.883247,6573V,,11.75,1.0,16,1,1,2018,15.0,14.75,0.7613617021276595,2018-1-16,11
594,144179,2,FLEET / SLC FACILITIES,533,2018-01-16 17:09:41,2018-01-17 11:29:51,0 days 18:20:10.000000000,0 days 01:32:34.000000000,3.6860000000000004,Plug Out at Vehicle,Level 2,Salt Lake City,40.75592,-111.8834,6569V,,9.25,0.75,16,1,1,2018,17.25,11.5,0.39848648648648655,2018-1-16,11
595,167347,1,PUBLIC USE / 159 S. MAIN ST,580,2018-01-16 17:43:48,2018-01-16 19:28:07,0 days 01:44:16.000000000,0 days 01:44:00.000000000,9.322000000000001,Plug Out at Vehicle,Level 2,Salt Lake City,40.76569,-111.890976,1010781,84103,0.75,0.75,16,1,1,2018,17.75,19.5,12.429333333333334,2018-1-16,11
596,182139,1,PUBLIC USE / SUGAR HOUSE,925,2018-01-16 17:44:23,2018-01-16 18:28:48,0 days 00:44:28.000000000,0 days 00:44:08.000000000,5.102,Plug Out at Vehicle,Level 2,Salt Lake City,40.723351,-111.85875700000001,1333911,84124,0.25,0.25,16,1,1,2018,17.75,18.5,20.408,2018-1-16,11
597,182139,2,PUBLIC USE / SUGAR HOUSE,926,2018-01-16 18:16:13,2018-01-16 18:59:18,0 days 00:43:07.000000000,0 days 00:42:53.000000000,2.6689999999999996,Plug Out at Vehicle,Level 2,Salt Lake City,40.723351,-111.85875700000001,1489681,84101,0.25,0.25,16,1,1,2018,18.25,19.0,10.675999999999998,2018-1-16,11
598,167347,2,PUBLIC USE / 159 S. MAIN ST,1516153249,2018-01-16 18:41:01,2018-01-16 22:29:20,0 days 03:48:19.000000000,0 days 03:14:13.000000000,11.838,Plug Out at Vehicle,Level 2,Salt Lake City,40.76569,-111.890976,1588551,84120,2.0,1.5,16,1,1,2018,18.75,22.5,5.919,2018-1-16,11
599,182105,1,PUBLIC USE / FAIRMONT PARK,1516154209,2018-01-16 18:56:55,2018-01-16 21:14:40,0 days 02:17:43.000000000,0 days 02:17:34.000000000,11.475999999999999,Plug Out at Vehicle,Level 2,Salt Lake City,40.722263,-111.86178600000001,789807,84102,1.25,1.25,16,1,1,2018,19.0,21.25,9.1808,2018-1-16,11
600,182145,1,PUBLIC USE / SUNNYSIDE AVE,44,2018-01-16 19:28:00,2018-01-16 20:13:33,0 days 00:45:31.000000000,0 days 00:45:20.000000000,4.997,Plug Out at Vehicle,Level 2,Salt Lake City,40.751179,-111.814384,755141,84065,0.5,0.5,16,1,1,2018,19.5,20.25,9.994,2018-1-16,11
601,167437,2,PUBLIC USE / 300 SOUTH,1153,2018-01-16 20:28:40,2018-01-16 22:04:50,0 days 01:36:10.000000000,0 days 01:07:01.000000000,3.529,Plug Out at Vehicle,Level 2,Salt Lake City,40.762943,-111.889496,1489681,84101,0.75,0.5,16,1,1,2018,20.5,22.0,4.705333333333333,2018-1-16,11
579,167347,1,PUBLIC USE / 159 S. MAIN ST,579,2018-01-16 11:55:35,2018-01-16 12:10:36,0 days 00:15:04.000000000,0 days 00:14:40.000000000,0.8959999999999999,Plug Out at Vehicle,Level 2,Salt Lake City,40.76569,-111.890976,,,0.25,0.0,16,1,1,2018,12.0,12.25,3.5839999999999996,2018-1-16,11
578,210241,2,PACKSIZE / CLEAN AIR 14,49,2018-01-16 11:25:01,2018-01-16 17:54:27,0 days 06:29:26.000000000,0 days 03:17:40.000000000,13.36,Plug Out at Vehicle,Level 2,Salt Lake City,40.742313,-111.981071,672723,84087,3.25,1.75,16,1,1,2018,11.5,18.0,4.110769230769231,2018-1-16,11
593,165165,2,PUBLIC USE / INTL PEACE GARD,84,2018-01-16 16:37:53,2018-01-16 17:02:25,0 days 00:24:32.000000000,0 days 00:23:33.000000000,1.4709999999999999,Plug Out at Vehicle,Level 2,Salt Lake City,40.746857,-111.91934199999999,478011,92104,0.25,0.25,16,1,1,2018,16.5,17.0,5.8839999999999995,2018-1-16,11
576,210225,2,PACKSIZE / CLEAN AIR 13,149,2018-01-16 10:32:31,2018-01-16 17:27:24,0 days 06:54:53.000000000,0 days 04:50:40.000000000,22.730999999999998,Plug Out at Vehicle,Level 2,Salt Lake City,40.742527,-111.98111000000002,1087321,84096,3.5,2.5,16,1,1,2018,10.5,17.5,6.494571428571428,2018-1-16,11
577,153363,1A,RMP NTO OFFICE / NTO WEST LOT FC,478,2018-01-16 11:05:56,2018-01-16 12:04:21,0 days 00:58:25.000000000,0 days 00:58:12.000000000,11.978,Plug Out at Station,DC Fast,Salt Lake City,40.771263,-111.93251000000001,823227,84105,0.5,0.5,16,1,1,2018,11.0,12.0,23.956,2018-1-16,11
554,186415,2,RMP NTO OFFICE / NTO WEST LOT 3,1516109879,2018-01-16 06:38:07,2018-01-16 15:06:11,0 days 08:28:04.000000000,0 days 05:19:59.000000000,17.195,Plug Out at Vehicle,Level 2,Salt Lake City,40.771267,-111.932449,1217291,84128,4.25,2.75,16,1,1,2018,6.75,15.0,4.0458823529411765,2018-1-16,11
555,128725,1,RMP NTO OFFICE / STATION 1,1067,2018-01-16 07:28:24,2018-01-16 15:25:39,0 days 07:57:18.000000000,0 days 04:07:35.000000000,18.471,Plug Out at Vehicle,Level 2,Salt Lake City,40.770634,-111.93139599999999,386027,84302,4.0,2.0,16,1,1,2018,7.5,15.5,4.61775,2018-1-16,11
556,204577,1,PACKSIZE / CLEAN AIR 4,131,2018-01-16 07:35:07,2018-01-16 17:27:46,0 days 09:52:39.000000000,0 days 00:57:54.000000000,2.469,Plug Out at Vehicle,Level 2,Salt Lake City,40.742542,-111.981163,333033,84124,5.0,0.5,16,1,1,2018,7.5,17.5,0.49379999999999996,2018-1-16,11
557,210225,1,PACKSIZE / CLEAN AIR 13,148,2018-01-16 07:36:38,2018-01-16 17:28:55,0 days 09:52:17.000000000,0 days 01:52:38.000000000,5.311,Plug Out at Vehicle,Level 2,Salt Lake City,40.742527,-111.98111000000002,1137391,84075,5.0,1.0,16,1,1,2018,7.5,17.5,1.0622,2018-1-16,11
559,183643,2,RMP NTO OFFICE / NTO WEST LOT 2,437,2018-01-16 07:39:39,2018-01-16 12:34:08,0 days 04:54:29.000000000,0 days 03:25:59.000000000,10.534,Plug Out at Vehicle,Level 2,Salt Lake City,40.771263,-111.932381,1337271,84065,2.5,1.75,16,1,1,2018,7.75,12.5,4.2136000000000005,2018-1-16,11
560,212307,2,PACKSIZE / CLEAN AIR 1,89,2018-01-16 07:39:40,2018-01-16 18:17:14,0 days 10:37:34.000000000,0 days 04:59:45.000000000,13.254000000000001,Plug Out at Vehicle,Level 2,Salt Lake City,40.74242,-111.98172,1301971,84111,5.25,2.5,16,1,1,2018,7.75,18.25,2.524571428571429,2018-1-16,11
561,210213,2,PACKSIZE / CLEAN AIR 11,78,2018-01-16 07:42:36,2018-01-16 17:30:50,0 days 09:48:13.000000000,0 days 03:16:24.000000000,12.274000000000001,Plug Out at Vehicle,Level 2,Salt Lake City,40.742413,-111.98162099999999,1087571,84014,5.0,1.75,16,1,1,2018,7.75,17.5,2.4548,2018-1-16,11
562,210199,2,PACKSIZE / CLEAN AIR 6,111,2018-01-16 07:43:13,2018-01-16 16:31:40,0 days 08:48:27.000000000,0 days 03:44:42.000000000,9.571,Plug Out at Vehicle,Level 2,Salt Lake City,40.742577000000004,-111.981323,1113081,84104,4.5,1.75,16,1,1,2018,7.75,16.5,2.126888888888889,2018-1-16,11
563,210207,1,PACKSIZE / CLEAN AIR 9,93,2018-01-16 07:50:21,2018-01-16 17:20:01,0 days 09:29:40.000000000,0 days 03:44:08.000000000,11.046,Plug Out at Vehicle,Level 2,Salt Lake City,40.742496,-111.98101799999999,333033,84124,4.75,1.75,16,1,1,2018,7.75,17.25,2.325473684210526,2018-1-16,11
564,186285,1,RMP NTO OFFICE / NTO WEST LOT 1,1516114481,2018-01-16 07:54:49,2018-01-16 12:02:26,0 days 04:07:42.000000000,0 days 02:50:50.000000000,6.271,Plug Out at Vehicle,Level 2,Salt Lake City,40.771259,-111.93231999999999,1301491,84107,2.0,1.5,16,1,1,2018,8.0,12.0,3.1355,2018-1-16,11
558,186285,2,RMP NTO OFFICE / NTO WEST LOT 1,462,2018-01-16 07:37:30,2018-01-16 12:18:04,0 days 04:40:32.000000000,0 days 04:40:22.000000000,12.693,Plug Out at Vehicle,Level 2,Salt Lake City,40.771259,-111.93231999999999,736191,84405,2.25,2.25,16,1,1,2018,7.5,12.25,5.641333333333333,2018-1-16,11
