,Hour,DayCnt,DayYr,Arrivals,Energy,Duration,Charging
0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
1,0.25,0.0,11.0,0.0,0.0,0.0,0.0
2,0.5,0.0,11.0,0.0,0.0,0.0,0.0
3,0.75,0.0,11.0,0.0,0.0,0.0,0.0
4,1.0,0.0,11.0,0.0,0.0,0.0,0.0
5,1.25,0.0,11.0,0.0,0.0,0.0,0.0
6,1.5,0.0,11.0,0.0,0.0,0.0,0.0
7,1.75,0.0,11.0,0.0,0.0,0.0,0.0
8,2.0,0.0,11.0,0.0,0.0,0.0,0.0
9,2.25,0.0,11.0,0.0,0.0,0.0,0.0
10,2.5,0.0,11.0,0.0,0.0,0.0,0.0
11,2.75,0.0,11.0,0.0,0.0,0.0,0.0
12,3.0,0.0,11.0,0.0,0.0,0.0,0.0
13,3.25,0.0,11.0,0.0,0.0,0.0,0.0
14,3.5,0.0,11.0,0.0,0.0,0.0,0.0
15,3.75,0.0,11.0,0.0,0.0,0.0,0.0
16,4.0,0.0,11.0,0.0,0.0,0.0,0.0
17,4.25,0.0,11.0,0.0,0.0,0.0,0.0
18,4.5,0.0,11.0,0.0,0.0,0.0,0.0
19,4.75,0.0,11.0,0.0,0.0,0.0,0.0
20,5.0,0.0,11.0,0.0,0.0,0.0,0.0
21,5.25,0.0,11.0,0.0,0.0,0.0,0.0
22,5.5,0.0,11.0,0.0,0.0,0.0,0.0
23,5.75,0.0,11.0,0.0,0.0,0.0,0.0
24,6.0,0.0,11.0,0.0,0.0,0.0,0.0
25,6.25,0.0,11.0,0.0,0.0,0.0,0.0
26,6.5,0.0,11.0,1.0,5.732,0.5,0.5
27,6.75,0.0,11.0,1.0,17.195,4.25,2.75
28,7.0,0.0,11.0,0.0,0.0,0.0,0.0
29,7.25,0.0,11.0,0.0,0.0,0.0,0.0
30,7.5,0.0,11.0,4.0,38.944,4.0625,1.4375
31,7.75,0.0,11.0,5.0,56.679,4.4,1.9
32,8.0,0.0,11.0,5.0,30.618999999999996,2.0,1.1
33,8.25,0.0,11.0,2.0,21.919,3.0,1.5
34,8.5,0.0,11.0,1.0,5.957999999999999,4.25,1.0
35,8.75,0.0,11.0,0.0,0.0,0.0,0.0
36,9.0,0.0,11.0,1.0,9.736,1.5,1.5
37,9.25,0.0,11.0,2.0,19.237000000000002,3.375,1.375
38,9.5,0.0,11.0,0.0,0.0,0.0,0.0
39,9.75,0.0,11.0,0.0,0.0,0.0,0.0
40,10.0,0.0,11.0,0.0,0.0,0.0,0.0
41,10.25,0.0,11.0,0.0,0.0,0.0,0.0
42,10.5,0.0,11.0,2.0,25.166999999999998,1.875,1.375
43,10.75,0.0,11.0,0.0,0.0,0.0,0.0
44,11.0,0.0,11.0,1.0,11.978,0.5,0.5
45,11.25,0.0,11.0,0.0,0.0,0.0,0.0
46,11.5,0.0,11.0,1.0,13.36,3.25,1.75
47,11.75,0.0,11.0,0.0,0.0,0.0,0.0
48,12.0,0.0,11.0,1.0,0.8959999999999999,0.25,0.0
49,12.25,0.0,11.0,0.0,0.0,0.0,0.0
50,12.5,0.0,11.0,1.0,6.18,10.0,1.25
51,12.75,0.0,11.0,2.0,11.665,5.875,2.25
52,13.0,0.0,11.0,1.0,16.962,2.5,1.5
53,13.25,0.0,11.0,3.0,16.990000000000002,1.5,0.8333333333333334
54,13.5,0.0,11.0,1.0,6.104,1.25,1.0
