,EVSE ID,Port Number,Station Name,Plug In Event Id,Start Date,End Date,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),Ended By,Port Type,City,Latitude,Longitude,User ID,Driver Postal Code,Duration (h),Charging (h),DayofYr,DayofWk,isWeekday,Year,StartHr,EndHr,AvgPwr,Date,dayCount
12,210209,1,PACKSIZE / CLEAN AIR 12,53,2018-01-02 05:38:29,2018-01-02 11:31:21,0 days 05:52:52.000000000,0 days 02:04:13.000000000,6.175,Plug Out at Vehicle,Level 2,Salt Lake City,40.742546000000004,-111.981224,1137391,84075,3.0,1.0,2,1,1,2018,5.0,11.0,2.058333333333333,2018-1-2,1
40,167437,1,PUBLIC USE / 300 SOUTH,1082,2018-01-02 10:31:00,2018-01-02 12:28:52,0 days 01:57:52.000000000,0 days 01:48:56.000000000,6.169,Plug Out at Vehicle,Level 2,Salt Lake City,40.762943,-111.889496,1521471,84108,1.0,1.0,2,1,1,2018,10.0,12.0,6.169,2018-1-2,1
41,167437,2,PUBLIC USE / 300 SOUTH,1514917875,2018-01-02 11:31:23,2018-01-02 12:38:03,0 days 01:06:40.000000000,0 days 00:20:14.000000000,1.1059999999999999,Plug Out at Vehicle,Level 2,Salt Lake City,40.762943,-111.889496,720123,84047,0.5,0.25,2,1,1,2018,11.0,12.0,2.2119999999999997,2018-1-2,1
42,183643,2,RMP NTO OFFICE / NTO WEST LOT 2,410,2018-01-02 11:44:59,2018-01-02 16:46:21,0 days 05:01:22.000000000,0 days 03:10:10.000000000,9.372,Plug Out at Vehicle,Level 2,Salt Lake City,40.771263,-111.932381,145377,84121,2.5,1.5,2,1,1,2018,11.0,16.0,3.7488,2018-1-2,1
43,167543,2,PUBLIC USE / LIBRARY SQ P1,115,2018-01-02 11:51:45,2018-01-02 18:08:46,0 days 06:17:01.000000000,0 days 02:05:47.000000000,6.202999999999999,Plug Out at Vehicle,Level 2,Salt Lake City,40.759537,-111.883972,723369,84108,3.25,1.0,2,1,1,2018,11.0,18.0,1.9086153846153844,2018-1-2,1
44,210199,2,PACKSIZE / CLEAN AIR 6,89,2018-01-02 12:25:53,2018-01-02 19:13:19,0 days 06:47:26.000000000,0 days 01:32:05.000000000,3.242,Plug Out at Vehicle,Level 2,Salt Lake City,40.742577000000004,-111.981323,1137391,84075,3.5,0.75,2,1,1,2018,12.0,19.0,0.9262857142857143,2018-1-2,1
45,144179,1,FLEET / SLC FACILITIES,521,2018-01-02 12:28:11,2018-01-03 09:49:15,0 days 21:21:04.000000000,0 days 03:42:49.000000000,11.425999999999998,Plug Out at Vehicle,Level 2,Salt Lake City,40.75592,-111.8834,6569V,,10.75,1.75,2,1,1,2018,12.0,9.0,1.0628837209302324,2018-1-2,1
46,186415,2,RMP NTO OFFICE / NTO WEST LOT 3,426,2018-01-02 12:35:54,2018-01-02 15:35:51,0 days 02:59:57.000000000,0 days 02:02:51.000000000,5.8629999999999995,Plug Out at Vehicle,Level 2,Salt Lake City,40.771267,-111.932449,782197,84041,1.5,1.0,2,1,1,2018,12.0,15.0,3.9086666666666665,2018-1-2,1
47,210207,1,PACKSIZE / CLEAN AIR 9,73,2018-01-02 12:37:20,2018-01-02 17:18:41,0 days 04:41:20.000000000,0 days 01:04:15.000000000,2.95,Plug Out at Vehicle,Level 2,Salt Lake City,40.742496,-111.98101799999999,348863,84065,2.25,0.5,2,1,1,2018,12.0,17.0,1.3111111111111111,2018-1-2,1
48,182105,2,PUBLIC USE / FAIRMONT PARK,271,2018-01-02 12:41:50,2018-01-02 14:21:41,0 days 01:39:53.000000000,0 days 01:39:38.000000000,5.9110000000000005,Plug Out at Vehicle,Level 2,Salt Lake City,40.722263,-111.86178600000001,402473,84105,0.75,0.75,2,1,1,2018,12.0,14.0,7.881333333333334,2018-1-2,1
49,182139,2,PUBLIC USE / SUGAR HOUSE,1514922168,2018-01-02 12:42:56,2018-01-02 13:12:28,0 days 00:29:30.000000000,0 days 00:28:56.000000000,1.5830000000000002,Plug Out at Vehicle,Level 2,Salt Lake City,40.723351,-111.85875700000001,714433,84123,0.25,0.25,2,1,1,2018,12.0,13.0,6.332000000000001,2018-1-2,1
39,210225,2,PACKSIZE / CLEAN AIR 13,139,2018-01-02 09:28:46,2018-01-02 13:03:10,0 days 03:34:24.000000000,0 days 02:21:45.000000000,7.229,CPS Server,Level 2,Salt Lake City,40.742527,-111.98111000000002,803613,84054,1.75,1.25,2,1,1,2018,9.0,13.0,4.130857142857143,2018-1-2,1
50,186285,2,RMP NTO OFFICE / NTO WEST LOT 1,435,2018-01-02 12:50:52,2018-01-02 15:48:37,0 days 02:57:45.000000000,0 days 01:53:39.000000000,5.185,Plug Out at Vehicle,Level 2,Salt Lake City,40.771259,-111.93231999999999,1493811,84088,1.5,1.0,2,1,1,2018,12.0,15.0,3.4566666666666666,2018-1-2,1
