Idx,Hour,DayCnt,DayYr,Connected
0,0,0,0,1
1,1,0,0,0
2,2,0,0,0
3,3,0,0,0
4,4,0,0,0
5,5,0,0,0
6,6,0,0,0
7,7,0,0,0
8,8,0,0,0
9,9,0,0,0
10,10,0,0,2
11,11,0,0,0
12,12,0,0,2
13,13,0,0,1
14,14,0,0,1
15,15,0,0,1
16,16,0,0,0
17,17,0,0,1
18,18,0,0,2
19,19,0,0,1
20,20,0,0,0
21,21,0,0,0
22,22,0,0,0
23,23,0,0,0
24,0,1,1,0
25,1,1,1,0
26,2,1,1,0
27,3,1,1,0
28,4,1,1,0
29,5,1,1,2
30,6,1,1,1
31,7,1,1,8
32,8,1,1,12
33,9,1,1,5
34,10,1,1,1
35,11,1,1,3
36,12,1,1,7
37,13,1,1,5
38,14,1,1,1
39,15,1,1,1
40,16,1,1,2
41,17,1,1,0
42,18,1,1,1
43,19,1,1,1
44,20,1,1,0
45,21,1,1,1
46,22,1,1,0
47,23,1,1,0
48,0,2,2,0
49,1,2,2,0
50,2,2,2,0
51,3,2,2,0
52,4,2,2,0
53,5,2,2,1
54,6,2,2,2
55,7,2,2,8
56,8,2,2,12
57,9,2,2,1
58,10,2,2,4
59,11,2,2,6
60,12,2,2,3
61,13,2,2,6
62,14,2,2,5
63,15,2,2,3
64,16,2,2,2
65,17,2,2,2
66,18,2,2,1
67,19,2,2,1
68,20,2,2,0
69,21,2,2,0
70,22,2,2,0
71,23,2,2,1
72,0,3,3,0
73,1,3,3,0
74,2,3,3,0
75,3,3,3,0
76,4,3,3,0
77,5,3,3,0
78,6,3,3,2
79,7,3,3,12
80,8,3,3,12
81,9,3,3,4
82,10,3,3,2
83,11,3,3,4
84,12,3,3,8
85,13,3,3,4
86,14,3,3,2
87,15,3,3,2
88,16,3,3,3
89,17,3,3,3
90,18,3,3,2
91,19,3,3,4
92,20,3,3,1
93,21,3,3,0
94,22,3,3,0
95,23,3,3,0
96,0,4,4,0
97,1,4,4,0
98,2,4,4,0
99,3,4,4,0
100,4,4,4,1
101,5,4,4,0
102,6,4,4,0
103,7,4,4,7
104,8,4,4,11
105,9,4,4,4
106,10,4,4,8
107,11,4,4,1
108,12,4,4,6
109,13,4,4,4
110,14,4,4,4
111,15,4,4,4
112,16,4,4,3
113,17,4,4,2
114,18,4,4,2
115,19,4,4,1
116,20,4,4,0
117,21,4,4,1
118,22,4,4,1
119,23,4,4,0
120,0,5,7,0
121,1,5,7,0
122,2,5,7,0
123,3,5,7,0
124,4,5,7,0
125,5,5,7,2
126,6,5,7,3
127,7,5,7,10
128,8,5,7,10
129,9,5,7,4
130,10,5,7,1
131,11,5,7,2
132,12,5,7,5
133,13,5,7,2
134,14,5,7,4
135,15,5,7,1
136,16,5,7,4
137,17,5,7,3
138,18,5,7,1
139,19,5,7,1
140,20,5,7,1
141,21,5,7,1
142,22,5,7,0
143,23,5,7,0
144,0,6,8,0
145,1,6,8,0
146,2,6,8,0
147,3,6,8,0
148,4,6,8,0
149,5,6,8,2
150,6,6,8,1
151,7,6,8,10
152,8,6,8,5
153,9,6,8,2
154,10,6,8,2
155,11,6,8,3
156,12,6,8,9
157,13,6,8,6
158,14,6,8,2
159,15,6,8,1
160,16,6,8,4
161,17,6,8,1
162,18,6,8,1
163,19,6,8,2
164,20,6,8,0
165,21,6,8,0
166,22,6,8,0
167,23,6,8,0
168,0,7,9,0
169,1,7,9,0
170,2,7,9,0
171,3,7,9,0
172,4,7,9,0
173,5,7,9,3
174,6,7,9,2
175,7,7,9,10
176,8,7,9,6
177,9,7,9,7
178,10,7,9,4
179,11,7,9,4
180,12,7,9,5
181,13,7,9,6
182,14,7,9,4
183,15,7,9,3
184,16,7,9,3
185,17,7,9,0
186,18,7,9,2
187,19,7,9,2
188,20,7,9,1
189,21,7,9,1
190,22,7,9,1
191,23,7,9,0
192,0,8,10,0
193,1,8,10,0
194,2,8,10,0
195,3,8,10,0
196,4,8,10,0
197,5,8,10,0
198,6,8,10,3
199,7,8,10,8
200,8,8,10,6
201,9,8,10,5
202,10,8,10,3
203,11,8,10,4
204,12,8,10,4
205,13,8,10,5
206,14,8,10,2
207,15,8,10,3
208,16,8,10,5
209,17,8,10,3
210,18,8,10,3
211,19,8,10,0
212,20,8,10,0
213,21,8,10,0
214,22,8,10,0
215,23,8,10,0
216,0,9,11,0
217,1,9,11,0
218,2,9,11,0
219,3,9,11,0
220,4,9,11,0
221,5,9,11,0
222,6,9,11,2
223,7,9,11,5
224,8,9,11,10
225,9,9,11,5
226,10,9,11,4
227,11,9,11,2
228,12,9,11,4
229,13,9,11,2
230,14,9,11,2
231,15,9,11,1
232,16,9,11,4
233,17,9,11,1
234,18,9,11,1
235,19,9,11,3
236,20,9,11,0
237,21,9,11,0
238,22,9,11,1
239,23,9,11,1
240,0,10,14,0
241,1,10,14,0
242,2,10,14,0
243,3,10,14,0
244,4,10,14,0
245,5,10,14,0
246,6,10,14,0
247,7,10,14,5
248,8,10,14,7
249,9,10,14,2
250,10,10,14,3
251,11,10,14,2
252,12,10,14,2
253,13,10,14,5
254,14,10,14,4
255,15,10,14,1
256,16,10,14,1
257,17,10,14,2
258,18,10,14,0
259,19,10,14,0
260,20,10,14,0
261,21,10,14,1
262,22,10,14,0
263,23,10,14,0
264,0,11,15,0
265,1,11,15,0
266,2,11,15,0
267,3,11,15,0
268,4,11,15,0
269,5,11,15,0
270,6,11,15,2
271,7,11,15,13
272,8,11,15,4
273,9,11,15,3
274,10,11,15,2
275,11,11,15,3
276,12,11,15,4
277,13,11,15,6
278,14,11,15,2
279,15,11,15,1
280,16,11,15,1
281,17,11,15,3
282,18,11,15,3
283,19,11,15,1
284,20,11,15,1
285,21,11,15,0
286,22,11,15,0
287,23,11,15,0
288,0,12,16,0
289,1,12,16,0
290,2,12,16,0
291,3,12,16,0
292,4,12,16,0
293,5,12,16,1
294,6,12,16,4
295,7,12,16,10
296,8,12,16,7
297,9,12,16,3
298,10,12,16,4
299,11,12,16,2
300,12,12,16,4
301,13,12,16,7
302,14,12,16,4
303,15,12,16,6
304,16,12,16,6
305,17,12,16,3
306,18,12,16,3
307,19,12,16,1
308,20,12,16,0
309,21,12,16,1
310,22,12,16,0
311,23,12,16,0
312,0,13,17,0
313,1,13,17,0
314,2,13,17,0
315,3,13,17,0
316,4,13,17,0
317,5,13,17,0
318,6,13,17,2
319,7,13,17,15
